lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5812041,-2.4696233,5.904,2.595,94.869,2022-10-16,14:31:14.800,3,23,0.159,0.671,0.904,6.702,0.61
50.5811719,-2.4695594,4.727,2.719,158.191,2022-10-16,14:32:36.800,3,24,0.131,0.523,0.789,3.753,0.56
50.5811555,-2.4695502,4.545,2.634,158.527,2022-10-16,14:32:37.600,3,24,0.165,0.531,0.780,3.842,0.55
50.5811412,-2.4695464,4.684,2.993,334.915,2022-10-16,14:32:43.400,3,24,0.145,0.506,0.693,3.352,0.56
50.5811570,-2.4695561,4.737,3.120,338.054,2022-10-16,14:32:44.200,3,24,0.170,0.500,0.700,3.624,0.57
50.5811728,-2.4695637,4.853,3.015,346.750,2022-10-16,14:32:45.000,3,24,0.158,0.499,0.712,3.269,0.57
50.5811885,-2.4695682,5.040,2.968,349.203,2022-10-16,14:32:45.800,3,23,0.143,0.498,0.714,3.406,0.56
50.5811744,-2.4695747,5.178,2.654,171.322,2022-10-16,14:32:50.000,3,23,0.139,0.499,0.714,3.652,0.60
50.5811574,-2.4695659,5.177,2.629,160.363,2022-10-16,14:32:50.800,3,24,0.114,0.499,0.706,3.264,0.56
50.5811395,-2.4695263,4.831,2.619,344.724,2022-10-16,14:38:37.800,3,22,0.136,0.416,0.566,3.445,0.60
50.5811437,-2.4695293,4.890,2.631,341.135,2022-10-16,14:38:38.000,3,22,0.152,0.416,0.568,3.218,0.64
50.5811577,-2.4695395,4.996,3.483,338.436,2022-10-16,14:38:38.800,3,21,0.142,0.418,0.581,2.887,0.64
50.5811625,-2.4695421,5.248,2.837,339.214,2022-10-16,14:38:39.000,3,22,0.156,0.420,0.582,3.486,0.64
50.5811741,-2.4695509,5.056,3.293,338.911,2022-10-16,14:38:39.600,3,22,0.143,0.425,0.591,2.991,0.64
50.5811787,-2.4695549,5.244,2.884,335.110,2022-10-16,14:38:39.800,3,22,0.153,0.426,0.593,3.532,0.64
50.5811886,-2.4695619,5.065,2.991,339.085,2022-10-16,14:38:40.400,3,22,0.157,0.433,0.602,3.265,0.64
50.5812032,-2.4695705,5.132,3.010,339.850,2022-10-16,14:38:41.200,3,22,0.155,0.440,0.611,3.313,0.63
50.5811908,-2.4695633,6.435,2.749,155.806,2022-10-16,14:38:55.800,3,21,0.135,0.494,0.773,3.714,0.66
50.5811791,-2.4695583,6.267,2.685,161.852,2022-10-16,14:38:56.400,3,22,0.154,0.485,0.751,4.377,0.62
50.5811740,-2.4695556,6.254,2.972,159.540,2022-10-16,14:38:56.600,3,22,0.150,0.484,0.746,3.687,0.62
50.5811614,-2.4695495,5.843,3.228,166.106,2022-10-16,14:38:57.200,3,22,0.132,0.475,0.721,2.785,0.61
50.5811570,-2.4695457,5.970,3.045,155.846,2022-10-16,14:38:57.400,3,22,0.116,0.472,0.712,3.049,0.65
50.5811478,-2.4695372,5.557,2.683,152.744,2022-10-16,14:38:58.000,3,22,0.124,0.464,0.690,3.489,0.62
50.5811439,-2.4695334,5.604,2.610,150.553,2022-10-16,14:38:58.200,3,22,0.136,0.468,0.693,5.009,0.62
50.5812608,-2.4677726,1.081,3.311,70.721,2022-10-16,14:42:46.000,3,21,0.162,1.087,1.509,3.409,0.67
50.5812633,-2.4677633,1.076,3.448,70.975,2022-10-16,14:42:46.200,3,21,0.194,1.075,1.481,3.579,0.64
50.5812655,-2.4677546,0.972,3.342,70.199,2022-10-16,14:42:46.400,3,21,0.225,1.074,1.464,4.228,0.64
50.5812672,-2.4677473,0.954,2.868,69.938,2022-10-16,14:42:46.600,3,21,0.366,1.086,1.471,8.505,0.64
50.5812692,-2.4677396,0.913,2.912,69.391,2022-10-16,14:42:46.800,3,21,0.539,1.120,1.480,11.273,0.64
50.5812712,-2.4677319,0.872,2.946,68.930,2022-10-16,14:42:47.000,3,20,0.643,1.178,1.489,13.066,0.64
50.5812733,-2.4677239,0.831,2.994,68.650,2022-10-16,14:42:47.200,3,20,0.699,1.256,1.500,14.073,0.64
50.5812748,-2.4677154,0.779,3.054,69.899,2022-10-16,14:42:47.400,3,21,0.691,1.336,1.511,14.374,0.64
50.5817622,-2.4664301,1.266,2.706,342.632,2022-10-16,14:44:39.400,3,20,0.190,0.745,1.074,3.164,0.69
50.5817745,-2.4664360,1.409,2.580,339.700,2022-10-16,14:44:40.000,3,21,0.162,0.731,1.052,3.191,0.65
50.5818824,-2.4663975,0.880,3.217,8.215,2022-10-16,14:44:54.000,3,21,0.182,0.768,1.015,2.285,0.65
50.5818891,-2.4663954,1.021,3.745,9.493,2022-10-16,14:44:54.200,3,21,0.183,0.767,1.014,2.004,0.65
50.5818965,-2.4663913,1.192,4.236,16.470,2022-10-16,14:44:54.400,3,21,0.188,0.765,1.014,1.779,0.65
50.5819039,-2.4663867,1.304,4.377,20.017,2022-10-16,14:44:54.600,3,21,0.188,0.764,1.015,1.791,0.65
50.5819116,-2.4663809,1.409,4.666,24.128,2022-10-16,14:44:54.800,3,21,0.193,0.765,1.017,1.708,0.65
50.5819192,-2.4663742,1.529,4.766,28.286,2022-10-16,14:44:55.000,3,21,0.190,0.764,1.017,1.603,0.68
50.5819272,-2.4663668,1.509,5.139,29.514,2022-10-16,14:44:55.200,3,21,0.190,0.763,1.017,1.526,0.65
50.5819356,-2.4663590,1.279,5.522,29.916,2022-10-16,14:44:55.400,3,21,0.193,0.763,1.017,1.437,0.65
50.5819428,-2.4663487,1.202,5.460,38.798,2022-10-16,14:44:55.600,3,21,0.201,0.765,1.019,1.665,0.65
50.5819491,-2.4663383,1.436,5.082,44.358,2022-10-16,14:44:55.800,3,21,0.190,0.765,1.020,1.793,0.65
50.5819558,-2.4663276,1.598,5.210,45.393,2022-10-16,14:44:56.000,3,21,0.186,0.763,1.016,1.851,0.65
50.5819628,-2.4663169,1.608,5.400,44.648,2022-10-16,14:44:56.200,3,21,0.193,0.764,1.016,1.903,0.65
50.5819702,-2.4663063,1.647,5.498,42.984,2022-10-16,14:44:56.400,3,21,0.194,0.765,1.017,1.720,0.65
50.5819780,-2.4662962,1.640,5.618,40.154,2022-10-16,14:44:56.600,3,21,0.184,0.764,1.017,1.467,0.65
50.5819858,-2.4662846,1.537,5.958,42.525,2022-10-16,14:44:56.800,3,21,0.176,0.763,1.014,1.393,0.65
50.5819936,-2.4662717,1.531,6.211,45.982,2022-10-16,14:44:57.000,3,21,0.170,0.759,1.012,1.401,0.65
50.5820004,-2.4662563,1.536,6.595,53.247,2022-10-16,14:44:57.200,3,21,0.173,0.758,1.012,1.452,0.65
50.5820066,-2.4662423,1.548,6.067,55.217,2022-10-16,14:44:57.400,3,21,0.174,0.756,1.011,1.385,0.67
50.5820134,-2.4662279,1.504,6.352,53.491,2022-10-16,14:44:57.600,3,21,0.197,0.757,1.013,1.468,0.67
50.5820210,-2.4662129,1.511,6.656,52.219,2022-10-16,14:44:57.800,3,21,0.213,0.757,1.014,1.488,0.67
50.5820289,-2.4661981,1.475,6.817,50.387,2022-10-16,14:44:58.000,3,21,0.192,0.756,1.013,1.326,0.67
50.5820370,-2.4661832,1.415,6.915,49.627,2022-10-16,14:44:58.200,3,21,0.184,0.756,1.011,1.319,0.65
50.5820446,-2.4661678,1.348,6.932,51.218,2022-10-16,14:44:58.400,3,21,0.193,0.756,1.009,1.370,0.65
50.5820509,-2.4661512,1.323,6.865,57.170,2022-10-16,14:44:58.600,3,21,0.174,0.755,1.010,1.402,0.65
50.5820566,-2.4661338,1.374,6.851,61.553,2022-10-16,14:44:58.800,3,21,0.164,0.753,1.005,1.505,0.65
50.5820619,-2.4661160,1.403,6.912,64.174,2022-10-16,14:44:59.000,3,21,0.168,0.753,1.003,1.600,0.65
50.5820668,-2.4660978,1.351,7.008,66.199,2022-10-16,14:44:59.200,3,21,0.158,0.752,1.001,1.543,0.65
50.5820720,-2.4660796,1.354,7.021,65.863,2022-10-16,14:44:59.400,3,21,0.161,0.753,1.001,1.555,0.65
50.5820758,-2.4660609,1.229,7.029,69.955,2022-10-16,14:44:59.600,3,21,0.175,0.753,1.001,1.498,0.64
50.5820802,-2.4660419,1.159,7.150,69.668,2022-10-16,14:44:59.800,3,21,0.167,0.754,1.001,1.708,0.65
50.5820843,-2.4660234,1.147,6.957,70.275,2022-10-16,14:45:00.000,3,21,0.166,0.754,1.003,1.813,0.65
50.5820884,-2.4660059,1.160,6.665,70.547,2022-10-16,14:45:00.200,3,21,0.163,0.754,1.000,1.792,0.65
50.5820924,-2.4659882,1.066,6.711,70.079,2022-10-16,14:45:00.400,3,21,0.150,0.751,0.996,1.486,0.65
50.5820960,-2.4659693,1.096,6.952,72.040,2022-10-16,14:45:00.600,3,21,0.144,0.748,0.992,1.474,0.65
50.5820998,-2.4659507,1.210,6.858,72.143,2022-10-16,14:45:00.800,3,21,0.147,0.744,0.990,1.494,0.65
50.5821024,-2.4659317,1.181,6.888,75.800,2022-10-16,14:45:01.000,3,21,0.141,0.741,0.986,1.546,0.65
50.5821045,-2.4659127,1.136,6.855,77.827,2022-10-16,14:45:01.200,3,21,0.146,0.738,0.986,1.592,0.65
50.5821071,-2.4658943,1.053,6.705,77.608,2022-10-16,14:45:01.400,3,21,0.151,0.737,0.985,1.637,0.65
50.5821097,-2.4658750,1.084,6.939,78.190,2022-10-16,14:45:01.600,3,21,0.154,0.737,0.985,1.610,0.65
50.5821122,-2.4658563,1.132,6.817,78.318,2022-10-16,14:45:01.800,3,21,0.147,0.738,0.985,1.603,0.65
50.5821142,-2.4658374,1.242,6.803,80.371,2022-10-16,14:45:02.000,3,21,0.151,0.738,0.986,1.579,0.65
50.5821165,-2.4658191,1.309,6.610,79.842,2022-10-16,14:45:02.200,3,21,0.153,0.738,0.987,1.546,0.65
50.5821185,-2.4658011,1.292,6.524,79.838,2022-10-16,14:45:02.400,3,21,0.153,0.736,0.986,1.550,0.67
50.5821198,-2.4657827,1.291,6.576,82.570,2022-10-16,14:45:02.600,3,21,0.151,0.735,0.986,1.481,0.67
50.5821218,-2.4657650,1.299,6.400,80.578,2022-10-16,14:45:02.800,3,21,0.161,0.736,0.987,1.515,0.67
50.5821233,-2.4657471,1.220,6.415,81.370,2022-10-16,14:45:03.000,3,21,0.146,0.734,0.986,1.477,0.67
50.5821238,-2.4657289,1.172,6.456,85.253,2022-10-16,14:45:03.200,3,21,0.147,0.734,0.986,1.619,0.65
50.5821246,-2.4657114,1.157,6.264,85.600,2022-10-16,14:45:03.400,3,21,0.152,0.735,0.988,1.707,0.65
50.5821253,-2.4656938,1.192,6.254,86.094,2022-10-16,14:45:03.600,3,21,0.152,0.735,0.988,1.707,0.65
50.5821267,-2.4656760,1.232,6.330,84.012,2022-10-16,14:45:03.800,3,21,0.151,0.735,0.986,1.675,0.65
50.5821292,-2.4656592,1.277,6.133,78.833,2022-10-16,14:45:04.000,3,21,0.141,0.733,0.984,1.674,0.65
50.5821323,-2.4656422,1.289,6.264,75.142,2022-10-16,14:45:04.200,3,21,0.140,0.730,0.980,1.598,0.65
50.5821349,-2.4656255,1.249,6.140,75.900,2022-10-16,14:45:04.400,3,21,0.144,0.728,0.977,1.747,0.65
50.5821359,-2.4656080,1.245,6.213,81.994,2022-10-16,14:45:04.600,3,21,0.144,0.729,0.978,1.850,0.65
50.5821376,-2.4655912,1.339,6.060,81.743,2022-10-16,14:45:04.800,3,21,0.137,0.729,0.976,1.969,0.65
50.5821396,-2.4655742,1.394,6.088,80.609,2022-10-16,14:45:05.000,3,21,0.159,0.731,0.979,2.033,0.65
50.5821424,-2.4655584,1.460,5.820,76.966,2022-10-16,14:45:05.200,3,21,0.151,0.732,0.979,2.030,0.65
50.5821452,-2.4655422,1.498,5.944,75.352,2022-10-16,14:45:05.400,3,21,0.145,0.731,0.979,1.897,0.65
50.5821483,-2.4655259,1.416,6.019,73.658,2022-10-16,14:45:05.600,3,21,0.152,0.730,0.977,1.914,0.65
50.5821507,-2.4655087,1.350,6.229,76.167,2022-10-16,14:45:05.800,3,21,0.152,0.732,0.978,1.804,0.65
50.5821539,-2.4654914,1.358,6.355,74.332,2022-10-16,14:45:06.000,3,21,0.157,0.732,0.979,1.645,0.65
50.5821574,-2.4654747,1.315,6.215,72.400,2022-10-16,14:45:06.200,3,21,0.181,0.734,0.982,1.815,0.65
50.5821606,-2.4654578,1.323,6.265,73.119,2022-10-16,14:45:06.400,3,21,0.178,0.735,0.985,1.753,0.67
50.5821642,-2.4654416,1.360,6.086,71.658,2022-10-16,14:45:06.600,3,21,0.179,0.736,0.988,1.679,0.67
50.5821682,-2.4654257,1.429,6.012,69.688,2022-10-16,14:45:06.800,3,21,0.169,0.737,0.989,1.645,0.67
50.5821725,-2.4654098,1.467,6.109,67.568,2022-10-16,14:45:07.000,3,21,0.170,0.738,0.990,1.635,0.65
50.5821770,-2.4653931,1.435,6.366,66.983,2022-10-16,14:45:07.200,3,21,0.165,0.738,0.991,1.516,0.65
50.5821808,-2.4653758,1.348,6.526,69.582,2022-10-16,14:45:07.400,3,21,0.162,0.738,0.991,1.520,0.65
50.5821845,-2.4653585,1.236,6.496,70.398,2022-10-16,14:45:07.600,3,21,0.159,0.738,0.990,1.551,0.65
50.5821875,-2.4653409,1.140,6.483,73.460,2022-10-16,14:45:07.800,3,21,0.159,0.737,0.989,1.458,0.67
50.5821899,-2.4653224,1.095,6.693,77.004,2022-10-16,14:45:08.000,3,21,0.158,0.737,0.989,1.621,0.65
50.5821921,-2.4653047,1.125,6.438,78.952,2022-10-16,14:45:08.200,3,21,0.175,0.735,0.988,1.661,0.64
50.5821949,-2.4652867,1.254,6.504,78.141,2022-10-16,14:45:08.400,3,21,0.194,0.734,0.987,1.651,0.64
50.5821982,-2.4652690,1.326,6.501,75.292,2022-10-16,14:45:08.600,3,21,0.225,0.736,0.989,1.898,0.65
50.5822024,-2.4652513,1.394,6.602,71.710,2022-10-16,14:45:08.800,3,21,0.208,0.733,0.989,1.773,0.65
50.5822072,-2.4652334,1.412,6.803,68.377,2022-10-16,14:45:09.000,3,21,0.191,0.733,0.991,1.537,0.65
50.5822123,-2.4652158,1.395,6.842,66.512,2022-10-16,14:45:09.200,3,21,0.231,0.732,0.990,1.744,0.64
50.5822174,-2.4651975,1.390,7.044,66.151,2022-10-16,14:45:09.400,3,21,0.229,0.735,0.992,1.804,0.64
