lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5706467,-2.4558818,4.969,2.631,109.160,2023-10-07,08:50:54.200,3,24,0.066,0.3,0.4,2.000,0.57
50.5706423,-2.4558689,5.063,3.079,113.981,2023-10-07,08:50:54.600,3,24,0.092,0.3,0.4,3.106,0.56
50.5706394,-2.4558626,5.152,2.752,120.816,2023-10-07,08:50:54.800,3,24,0.109,0.3,0.4,3.360,0.57
50.5706323,-2.4558457,4.987,2.909,122.181,2023-10-07,08:50:55.400,3,24,0.074,0.3,0.4,2.449,0.57
50.5706282,-2.4558406,5.123,3.025,134.768,2023-10-07,08:50:55.600,3,23,0.075,0.3,0.4,3.095,0.58
50.5706211,-2.4558247,5.029,2.671,126.298,2023-10-07,08:50:56.200,3,24,0.097,0.3,0.4,5.017,0.55
50.5706075,-2.4558116,5.210,2.757,150.036,2023-10-07,08:50:57.000,3,22,0.122,0.3,0.4,4.516,0.60
50.5706029,-2.4558137,5.405,2.710,173.175,2023-10-07,08:50:57.200,3,24,0.230,0.3,0.4,4.860,0.55
50.5705882,-2.4558130,6.132,2.794,183.642,2023-10-07,08:50:58.000,3,23,0.164,0.3,0.4,6.028,0.56
50.5708196,-2.4572666,-368.519,7.521,281.547,2023-10-07,08:51:57.800,3,4,24.497,173.9,418.7,15.947,4.62
50.5708325,-2.4572917,-370.543,7.564,276.581,2023-10-07,08:51:58.000,3,4,15.813,120.9,268.8,28.255,4.62
50.5708325,-2.4573103,-373.011,6.972,275.886,2023-10-07,08:51:58.200,3,4,12.915,111.1,257.1,19.379,4.62
50.5708321,-2.4573006,-373.071,6.053,278.690,2023-10-07,08:51:58.400,3,4,11.666,95.8,224.8,14.511,4.62
50.5708297,-2.4572886,-372.264,4.974,281.118,2023-10-07,08:51:58.600,3,4,10.210,86.0,204.0,16.946,4.62
50.5708294,-2.4572720,-371.028,4.388,284.935,2023-10-07,08:51:58.800,3,4,9.275,79.1,188.8,19.720,4.62
50.5708263,-2.4572601,-370.057,3.844,286.008,2023-10-07,08:51:59.000,3,4,8.792,74.0,177.3,20.977,4.62
50.5708086,-2.4572440,-374.317,2.592,255.981,2023-10-07,08:52:00.200,3,4,7.077,57.1,138.9,30.392,4.62
50.5708195,-2.4572825,-384.120,3.905,285.822,2023-10-07,08:52:00.600,3,4,6.974,54.4,132.3,17.364,4.62
50.5708237,-2.4572932,-386.347,4.286,289.424,2023-10-07,08:52:00.800,3,4,6.820,53.1,129.2,16.902,4.62
50.5708285,-2.4573094,-389.815,4.582,292.690,2023-10-07,08:52:01.000,3,4,6.714,51.9,126.2,17.105,4.62
