lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5730046,-2.4550468,6.151,2.773,14.033,2022-10-16,14:04:12.200,3,22,0.157,0.604,0.835,2.336,0.58
50.5730100,-2.4550452,6.133,2.972,11.669,2022-10-16,14:04:12.400,3,22,0.149,0.604,0.836,2.307,0.57
50.5730151,-2.4550438,6.103,2.894,10.608,2022-10-16,14:04:12.600,3,22,0.159,0.605,0.837,2.246,0.59
50.5730200,-2.4550430,6.132,2.796,7.510,2022-10-16,14:04:12.800,3,22,0.155,0.605,0.837,2.333,0.57
50.5730250,-2.4550422,6.121,2.749,6.206,2022-10-16,14:04:13.000,3,22,0.156,0.606,0.838,2.539,0.58
50.5735632,-2.4551331,6.060,2.599,11.514,2022-10-16,14:04:41.400,3,22,0.157,0.637,0.878,2.452,0.62
50.5736201,-2.4551175,5.976,2.611,11.521,2022-10-16,14:04:44.000,3,22,0.147,0.637,0.877,2.532,0.57
50.5736247,-2.4551163,5.970,2.592,9.984,2022-10-16,14:04:44.200,3,22,0.156,0.637,0.877,2.619,0.57
50.5736383,-2.4551129,5.934,2.573,8.681,2022-10-16,14:04:44.800,3,22,0.142,0.636,0.877,2.606,0.57
50.5736430,-2.4551119,5.939,2.605,8.335,2022-10-16,14:04:45.000,3,22,0.144,0.636,0.876,2.574,0.57
50.5736477,-2.4551112,5.905,2.587,6.778,2022-10-16,14:04:45.200,3,22,0.157,0.637,0.877,2.806,0.57
50.5749139,-2.4554241,4.534,2.572,21.688,2022-10-16,14:05:51.200,3,22,0.150,0.465,0.535,2.750,0.57
50.5749265,-2.4554158,4.514,2.615,24.159,2022-10-16,14:05:51.800,3,22,0.157,0.465,0.538,2.682,0.58
50.5749424,-2.4554008,4.553,2.956,29.702,2022-10-16,14:05:52.600,3,22,0.154,0.468,0.540,2.639,0.56
50.5749468,-2.4553976,4.437,2.642,27.895,2022-10-16,14:05:52.800,3,22,0.157,0.469,0.542,2.912,0.56
50.5749507,-2.4553932,4.423,2.657,32.069,2022-10-16,14:05:53.000,3,22,0.158,0.470,0.545,2.940,0.56
50.5749556,-2.4553896,4.453,2.907,27.827,2022-10-16,14:05:53.200,3,22,0.149,0.471,0.547,2.451,0.56
50.5749613,-2.4553853,4.438,3.368,27.022,2022-10-16,14:05:53.400,3,22,0.148,0.471,0.549,2.161,0.56
50.5749665,-2.4553812,4.523,3.192,26.323,2022-10-16,14:05:53.600,3,22,0.159,0.473,0.550,2.310,0.56
50.5749715,-2.4553779,4.535,2.939,24.238,2022-10-16,14:05:53.800,3,22,0.145,0.473,0.551,2.575,0.57
50.5749761,-2.4553742,4.551,2.770,25.999,2022-10-16,14:05:54.000,3,22,0.140,0.468,0.551,2.454,0.57
50.5749804,-2.4553707,4.536,2.620,26.847,2022-10-16,14:05:54.200,3,22,0.153,0.468,0.553,2.872,0.57
50.5760745,-2.4549460,2.786,2.695,28.838,2022-10-16,14:06:59.000,3,21,0.152,0.473,0.592,2.555,0.61
50.5760791,-2.4549418,2.766,2.938,29.884,2022-10-16,14:06:59.200,3,21,0.146,0.472,0.594,2.404,0.62
50.5760845,-2.4549386,2.954,3.229,24.780,2022-10-16,14:06:59.400,3,22,0.146,0.472,0.592,2.180,0.59
50.5760898,-2.4549368,2.925,3.114,18.085,2022-10-16,14:06:59.600,3,22,0.157,0.471,0.592,2.137,0.62
50.5760943,-2.4549326,2.905,2.961,25.709,2022-10-16,14:06:59.800,3,22,0.151,0.471,0.594,2.302,0.59
50.5760997,-2.4549289,2.991,3.201,24.953,2022-10-16,14:07:00.000,3,22,0.144,0.471,0.596,2.129,0.58
50.5761054,-2.4549259,3.117,3.387,21.354,2022-10-16,14:07:00.200,3,22,0.148,0.471,0.595,2.183,0.58
50.5761103,-2.4549241,3.053,2.996,17.982,2022-10-16,14:07:00.400,3,21,0.140,0.471,0.595,2.483,0.60
50.5761148,-2.4549205,3.099,2.821,23.473,2022-10-16,14:07:00.600,3,22,0.148,0.472,0.597,2.602,0.57
50.5761203,-2.4549178,3.204,3.198,19.710,2022-10-16,14:07:00.800,3,22,0.154,0.472,0.597,2.222,0.60
50.5761253,-2.4549158,3.134,2.980,17.433,2022-10-16,14:07:01.000,3,22,0.143,0.471,0.597,2.286,0.57
50.5761301,-2.4549123,3.139,2.977,21.881,2022-10-16,14:07:01.200,3,22,0.158,0.473,0.601,2.459,0.63
50.5761354,-2.4549093,3.146,3.138,21.112,2022-10-16,14:07:01.400,3,21,0.157,0.475,0.604,2.411,0.60
50.5761401,-2.4549072,3.196,2.750,18.521,2022-10-16,14:07:01.600,3,22,0.161,0.477,0.607,2.856,0.58
50.5761447,-2.4549049,3.224,2.694,18.150,2022-10-16,14:07:01.800,3,22,0.168,0.479,0.610,2.787,0.58
50.5761960,-2.4548662,3.512,2.615,30.840,2022-10-16,14:07:04.800,3,22,0.138,0.475,0.618,2.800,0.56
50.5762000,-2.4548625,3.562,2.616,31.021,2022-10-16,14:07:05.000,3,22,0.145,0.474,0.617,2.719,0.56
50.5762658,-2.4548097,4.050,2.633,29.086,2022-10-16,14:07:08.800,3,21,0.154,0.474,0.620,2.702,0.60
50.5762701,-2.4548064,4.048,2.670,28.634,2022-10-16,14:07:09.000,3,21,0.147,0.473,0.620,2.667,0.60
50.5762826,-2.4547961,4.036,2.732,29.184,2022-10-16,14:07:09.600,3,21,0.146,0.475,0.625,2.631,0.60
50.5762871,-2.4547930,3.996,2.796,26.045,2022-10-16,14:07:09.800,3,21,0.147,0.473,0.623,2.534,0.60
50.5763433,-2.4547486,3.872,2.584,23.995,2022-10-16,14:07:12.800,3,21,0.151,0.478,0.626,2.765,0.60
50.5767762,-2.4544582,4.374,2.676,35.085,2022-10-16,14:07:37.000,3,21,0.156,0.504,0.613,2.827,0.63
50.5767801,-2.4544543,4.458,2.595,33.615,2022-10-16,14:07:37.200,3,21,0.163,0.506,0.613,2.958,0.63
50.5767879,-2.4544462,4.387,2.732,34.520,2022-10-16,14:07:37.600,3,21,0.150,0.507,0.616,2.639,0.63
50.5767926,-2.4544419,4.395,2.972,32.484,2022-10-16,14:07:37.800,3,21,0.139,0.507,0.618,2.428,0.60
50.5767984,-2.4544384,4.432,3.414,24.289,2022-10-16,14:07:38.000,3,21,0.137,0.507,0.618,1.987,0.60
50.5768027,-2.4544352,4.327,2.841,25.309,2022-10-16,14:07:38.200,3,21,0.144,0.507,0.619,2.426,0.60
50.5768071,-2.4544307,4.291,2.939,31.012,2022-10-16,14:07:38.400,3,21,0.144,0.507,0.621,2.469,0.60
50.5768121,-2.4544256,4.334,3.202,32.063,2022-10-16,14:07:38.600,3,21,0.147,0.507,0.624,2.246,0.63
50.5768188,-2.4544212,4.439,3.931,25.371,2022-10-16,14:07:38.800,3,21,0.146,0.507,0.625,1.824,0.60
50.5768249,-2.4544181,4.260,3.655,22.006,2022-10-16,14:07:39.000,3,21,0.145,0.505,0.626,1.824,0.60
50.5768306,-2.4544130,4.295,3.654,27.534,2022-10-16,14:07:39.200,3,21,0.138,0.504,0.627,1.917,0.60
50.5768381,-2.4544096,4.428,4.219,20.946,2022-10-16,14:07:39.400,3,21,0.139,0.501,0.627,1.555,0.60
50.5768458,-2.4544070,4.404,4.380,14.741,2022-10-16,14:07:39.600,3,21,0.156,0.498,0.628,1.594,0.61
50.5768533,-2.4544044,4.268,4.347,13.857,2022-10-16,14:07:39.800,3,21,0.162,0.496,0.629,1.663,0.62
50.5768600,-2.4544004,4.308,4.045,18.736,2022-10-16,14:07:40.000,3,21,0.144,0.493,0.629,1.697,0.62
50.5768674,-2.4543972,4.364,4.237,16.169,2022-10-16,14:07:40.200,3,21,0.152,0.491,0.629,1.608,0.62
50.5768749,-2.4543946,4.446,4.255,13.349,2022-10-16,14:07:40.400,3,21,0.165,0.489,0.629,1.633,0.64
50.5768823,-2.4543919,4.383,4.246,13.169,2022-10-16,14:07:40.600,3,21,0.172,0.488,0.629,1.621,0.64
50.5768901,-2.4543882,4.386,4.509,16.183,2022-10-16,14:07:40.800,3,21,0.167,0.489,0.631,1.538,0.62
50.5768985,-2.4543845,4.448,4.780,15.583,2022-10-16,14:07:41.000,3,21,0.173,0.490,0.631,1.410,0.66
50.5769076,-2.4543819,4.510,5.041,11.793,2022-10-16,14:07:41.200,3,21,0.181,0.491,0.633,1.359,0.64
50.5769157,-2.4543791,4.377,4.747,12.855,2022-10-16,14:07:41.400,3,21,0.170,0.490,0.632,1.374,0.64
50.5769245,-2.4543757,4.452,4.980,13.547,2022-10-16,14:07:41.600,3,21,0.157,0.489,0.633,1.393,0.64
50.5769338,-2.4543725,4.588,5.178,12.577,2022-10-16,14:07:41.800,3,21,0.162,0.490,0.634,1.298,0.62
50.5769428,-2.4543710,4.411,5.127,10.203,2022-10-16,14:07:42.000,3,21,0.169,0.484,0.626,1.163,0.62
50.5769525,-2.4543676,4.232,5.576,15.887,2022-10-16,14:07:42.200,3,21,0.172,0.478,0.613,1.081,0.62
50.5769617,-2.4543632,4.354,5.318,17.149,2022-10-16,14:07:42.400,3,21,0.173,0.478,0.613,1.219,0.62
50.5769707,-2.4543590,4.373,5.253,17.093,2022-10-16,14:07:42.600,3,21,0.166,0.476,0.609,1.159,0.67
50.5769797,-2.4543536,4.419,5.330,20.621,2022-10-16,14:07:42.800,3,21,0.165,0.473,0.603,1.133,0.67
50.5769888,-2.4543480,4.395,5.446,22.509,2022-10-16,14:07:43.000,3,21,0.163,0.470,0.599,1.120,0.67
50.5769979,-2.4543422,4.405,5.451,21.758,2022-10-16,14:07:43.200,3,21,0.170,0.471,0.600,1.224,0.67
50.5770073,-2.4543365,4.415,5.556,20.966,2022-10-16,14:07:43.400,3,21,0.176,0.473,0.602,1.299,0.62
50.5770172,-2.4543313,4.418,5.794,19.115,2022-10-16,14:07:43.600,3,21,0.159,0.474,0.604,1.248,0.62
50.5770276,-2.4543258,4.377,6.124,18.359,2022-10-16,14:07:43.800,3,21,0.152,0.475,0.605,1.135,0.62
50.5770370,-2.4543193,4.428,6.046,21.621,2022-10-16,14:07:44.000,3,21,0.144,0.467,0.596,1.016,0.64
50.5770468,-2.4543125,4.635,5.910,24.001,2022-10-16,14:07:44.200,3,21,0.161,0.468,0.595,1.165,0.64
50.5770567,-2.4543056,4.755,6.193,22.972,2022-10-16,14:07:44.400,3,21,0.155,0.462,0.589,1.073,0.64
50.5770670,-2.4542989,4.785,6.190,22.313,2022-10-16,14:07:44.600,3,21,0.152,0.462,0.590,1.135,0.64
50.5770771,-2.4542912,4.664,6.318,25.092,2022-10-16,14:07:44.800,3,21,0.156,0.460,0.591,1.010,0.64
50.5770878,-2.4542831,4.680,6.570,25.598,2022-10-16,14:07:45.000,3,21,0.155,0.459,0.592,0.981,0.64
50.5770987,-2.4542752,4.801,6.611,24.634,2022-10-16,14:07:45.200,3,21,0.168,0.459,0.594,1.015,0.64
50.5771103,-2.4542681,4.810,6.875,21.848,2022-10-16,14:07:45.400,3,21,0.149,0.460,0.595,0.976,0.62
