lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5712838,-2.4565941,5.481,2.592,163.510,2023-10-13,07:52:57.000,3,10,0.139,0.67,0.87,2.905,1.50
50.5712635,-2.4565846,4.706,2.690,170.099,2023-10-13,07:52:58.600,3,10,0.200,0.66,0.87,4.219,1.50
50.5712509,-2.4565811,4.284,2.806,170.456,2023-10-13,07:52:59.400,3,9,0.212,0.65,0.87,4.142,1.62
50.5712394,-2.4565765,4.023,3.007,169.653,2023-10-13,07:53:00.200,3,11,0.169,0.65,0.86,5.286,1.20
50.5712181,-2.4565711,3.121,2.869,173.234,2023-10-13,07:53:01.800,3,12,0.217,0.63,0.85,5.758,1.16
50.5713526,-2.4568453,8.924,2.584,270.856,2023-10-13,07:59:30.400,3,24,0.071,0.23,0.26,1.966,0.57
50.5713486,-2.4569087,9.493,2.823,261.299,2023-10-13,07:59:32.800,3,23,0.058,0.23,0.27,1.537,0.57
50.5713467,-2.4569294,9.464,3.474,260.114,2023-10-13,07:59:33.400,3,22,0.078,0.23,0.28,1.669,0.57
50.5713434,-2.4569525,9.498,3.779,256.117,2023-10-13,07:59:34.000,3,21,0.086,0.23,0.28,1.355,0.58
50.5713397,-2.4569744,9.465,3.713,252.674,2023-10-13,07:59:34.600,3,22,0.064,0.23,0.28,1.232,0.57
50.5713356,-2.4569968,9.465,3.689,249.269,2023-10-13,07:59:35.200,3,24,0.065,0.24,0.29,1.416,0.57
50.5713304,-2.4570189,9.475,3.716,246.660,2023-10-13,07:59:35.800,3,22,0.067,0.24,0.29,1.549,0.57
50.5713240,-2.4570396,9.575,3.517,241.820,2023-10-13,07:59:36.400,3,22,0.077,0.24,0.29,1.395,0.59
50.5713176,-2.4570591,9.498,3.246,238.774,2023-10-13,07:59:37.000,3,24,0.113,0.24,0.30,2.102,0.57
50.5713107,-2.4570789,9.560,3.417,242.343,2023-10-13,07:59:37.600,3,21,0.106,0.25,0.30,3.536,0.60
50.5713021,-2.4570974,9.496,3.424,234.132,2023-10-13,07:59:38.200,3,22,0.097,0.25,0.31,2.858,0.58
50.5712941,-2.4571150,9.489,3.348,233.827,2023-10-13,07:59:38.800,3,24,0.091,0.25,0.31,2.361,0.57
50.5712868,-2.4571327,9.416,3.250,235.942,2023-10-13,07:59:39.400,3,23,0.069,0.25,0.31,1.700,0.57
50.5712806,-2.4571505,9.348,2.970,238.933,2023-10-13,07:59:40.000,3,24,0.074,0.25,0.31,1.822,0.57
50.5712742,-2.4571671,9.266,2.855,235.342,2023-10-13,07:59:40.600,3,23,0.058,0.25,0.31,1.785,0.58
50.5712665,-2.4571791,9.230,2.677,221.077,2023-10-13,07:59:41.200,3,22,0.052,0.25,0.31,1.910,0.60
50.5713795,-2.4575283,9.108,2.582,309.768,2023-10-13,08:00:38.400,3,24,0.042,0.26,0.33,1.028,0.55
50.5713856,-2.4575394,9.073,2.676,312.425,2023-10-13,08:00:38.800,3,24,0.043,0.26,0.33,1.050,0.56
50.5713888,-2.4575453,9.097,2.735,310.954,2023-10-13,08:00:39.000,3,24,0.041,0.26,0.33,1.029,0.56
50.5714066,-2.4575786,8.844,2.756,317.032,2023-10-13,08:00:40.400,3,24,0.039,0.25,0.33,0.991,0.56
50.5714097,-2.4575840,8.806,2.597,312.528,2023-10-13,08:00:40.600,3,24,0.037,0.25,0.33,1.045,0.56
50.5714131,-2.4575900,8.833,2.838,312.013,2023-10-13,08:00:40.800,3,24,0.039,0.25,0.33,1.193,0.56
50.5714174,-2.4575967,8.869,3.356,314.934,2023-10-13,08:00:41.000,3,24,0.038,0.25,0.33,0.989,0.56
50.5714218,-2.4576029,8.866,3.293,317.138,2023-10-13,08:00:41.200,3,24,0.037,0.25,0.33,1.025,0.56
50.5714263,-2.4576092,8.858,3.388,317.948,2023-10-13,08:00:41.400,3,24,0.035,0.25,0.33,0.929,0.56
50.5714309,-2.4576156,8.921,3.358,318.653,2023-10-13,08:00:41.600,3,24,0.038,0.25,0.33,0.958,0.54
50.5714363,-2.4576213,8.954,3.659,325.241,2023-10-13,08:00:41.800,3,24,0.038,0.25,0.33,0.811,0.54
50.5714410,-2.4576270,9.005,3.291,322.635,2023-10-13,08:00:42.000,3,24,0.041,0.25,0.33,1.072,0.55
50.5714452,-2.4576325,9.028,3.053,320.521,2023-10-13,08:00:42.200,3,24,0.043,0.25,0.33,1.068,0.55
50.5714488,-2.4576383,9.060,2.840,314.521,2023-10-13,08:00:42.400,3,24,0.039,0.25,0.33,1.014,0.56
50.5714529,-2.4576445,9.028,3.224,315.187,2023-10-13,08:00:42.600,3,24,0.038,0.25,0.33,0.881,0.56
50.5714577,-2.4576510,9.028,3.516,317.959,2023-10-13,08:00:42.800,3,24,0.036,0.25,0.33,0.709,0.56
50.5714620,-2.4576578,9.024,3.407,314.556,2023-10-13,08:00:43.000,3,24,0.040,0.25,0.33,0.764,0.56
50.5714663,-2.4576648,9.007,3.479,313.680,2023-10-13,08:00:43.200,3,24,0.041,0.25,0.33,0.801,0.56
50.5714707,-2.4576719,8.928,3.564,313.498,2023-10-13,08:00:43.400,3,24,0.043,0.25,0.33,0.751,0.55
50.5714761,-2.4576794,8.860,4.014,317.015,2023-10-13,08:00:43.600,3,24,0.035,0.25,0.33,0.630,0.56
50.5714822,-2.4576874,8.885,4.427,320.214,2023-10-13,08:00:43.800,3,24,0.034,0.25,0.33,0.576,0.56
50.5714883,-2.4576954,8.994,4.455,320.355,2023-10-13,08:00:44.000,3,24,0.035,0.25,0.33,0.617,0.55
50.5714955,-2.4577033,9.098,4.841,324.609,2023-10-13,08:00:44.200,3,24,0.037,0.25,0.33,0.586,0.56
50.5715028,-2.4577117,9.119,5.066,323.414,2023-10-13,08:00:44.400,3,24,0.040,0.25,0.33,0.613,0.55
50.5715091,-2.4577203,9.263,4.614,319.712,2023-10-13,08:00:44.600,3,24,0.035,0.25,0.33,0.539,0.56
50.5715150,-2.4577281,9.289,4.341,319.065,2023-10-13,08:00:44.800,3,24,0.040,0.25,0.33,0.651,0.56
50.5715206,-2.4577359,9.273,4.165,317.588,2023-10-13,08:00:45.000,3,24,0.039,0.25,0.33,0.670,0.56
