lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5713274,-2.4570241,6.509,2.596,234.359,2023-10-12,13:36:48.000,3,24,0.054,0.206,0.262,1.331,0.52
50.5713017,-2.4570786,6.271,2.736,236.216,2023-10-12,13:36:50.800,3,23,0.056,0.217,0.278,1.832,0.51
50.5712855,-2.4571088,6.110,2.966,232.297,2023-10-12,13:36:52.600,3,24,0.052,0.221,0.286,1.438,0.52
50.5712289,-2.4570996,6.533,2.782,131.482,2023-10-12,13:36:58.200,3,24,0.044,0.235,0.309,1.626,0.56
50.5712220,-2.4570863,6.489,2.835,127.423,2023-10-12,13:36:59.000,3,24,0.064,0.238,0.312,1.750,0.54
50.5712156,-2.4570724,6.473,2.594,124.832,2023-10-12,13:36:59.800,3,24,0.047,0.241,0.316,1.826,0.55
50.5712125,-2.4570659,6.443,2.870,126.298,2023-10-12,13:37:00.000,3,24,0.039,0.242,0.317,1.683,0.57
50.5712042,-2.4570515,6.439,3.356,134.341,2023-10-12,13:37:00.800,3,24,0.056,0.243,0.320,1.265,0.56
50.5711951,-2.4570408,6.480,2.993,143.869,2023-10-12,13:37:01.600,3,24,0.067,0.246,0.323,2.607,0.53
50.5711904,-2.4570363,6.505,3.063,145.615,2023-10-12,13:37:01.800,3,24,0.105,0.251,0.325,4.259,0.55
50.5711798,-2.4570279,6.463,3.251,155.767,2023-10-12,13:37:02.600,3,24,0.085,0.254,0.329,2.532,0.53
50.5711704,-2.4570172,6.504,2.998,143.439,2023-10-12,13:37:03.400,3,24,0.112,0.258,0.335,2.398,0.52
50.5711599,-2.4570082,6.602,2.938,148.482,2023-10-12,13:37:04.200,3,24,0.082,0.260,0.338,1.939,0.55
50.5711549,-2.4570044,6.610,3.081,151.335,2023-10-12,13:37:04.400,3,24,0.109,0.261,0.339,3.139,0.54
50.5711442,-2.4569955,6.601,3.340,154.111,2023-10-12,13:37:05.200,3,24,0.057,0.263,0.342,1.520,0.52
50.5711338,-2.4569881,6.505,3.262,154.670,2023-10-12,13:37:06.000,3,24,0.072,0.265,0.346,1.794,0.54
50.5711293,-2.4569849,6.578,2.696,154.548,2023-10-12,13:37:06.200,3,24,0.071,0.266,0.346,1.592,0.56
50.5711227,-2.4569802,6.588,2.738,156.142,2023-10-12,13:37:06.800,3,24,0.048,0.267,0.348,1.093,0.54
50.5711175,-2.4569771,6.600,3.094,158.436,2023-10-12,13:37:07.000,3,24,0.066,0.267,0.349,1.638,0.56
50.5711057,-2.4569705,6.593,3.081,159.757,2023-10-12,13:37:07.800,3,24,0.076,0.269,0.352,1.692,0.54
50.5710938,-2.4569629,6.628,3.231,161.677,2023-10-12,13:37:08.600,3,24,0.063,0.271,0.354,1.279,0.56
50.5710822,-2.4569566,6.618,3.279,163.209,2023-10-12,13:37:09.400,3,24,0.076,0.273,0.357,1.817,0.56
50.5710773,-2.4569559,6.706,2.696,170.125,2023-10-12,13:37:09.600,3,24,0.073,0.273,0.358,2.256,0.52
50.5710698,-2.4569531,6.768,2.952,174.850,2023-10-12,13:37:10.200,3,24,0.081,0.274,0.359,1.471,0.53
50.5710642,-2.4569540,6.870,3.159,182.687,2023-10-12,13:37:10.400,3,24,0.069,0.275,0.360,1.767,0.51
50.5710517,-2.4569580,6.840,3.063,198.775,2023-10-12,13:37:11.200,3,24,0.055,0.275,0.361,1.292,0.52
50.5710412,-2.4569665,6.946,3.056,210.955,2023-10-12,13:37:12.000,3,24,0.086,0.276,0.362,1.829,0.52
50.5710309,-2.4569766,6.915,2.763,210.002,2023-10-12,13:37:12.800,3,23,0.056,0.277,0.364,2.002,0.52
50.5710267,-2.4569811,6.934,2.812,213.696,2023-10-12,13:37:13.000,3,24,0.051,0.277,0.364,1.667,0.51
50.5710169,-2.4569913,6.839,2.905,215.914,2023-10-12,13:37:13.800,3,24,0.067,0.277,0.366,1.799,0.51
50.5710068,-2.4570006,6.879,2.953,213.229,2023-10-12,13:37:14.600,3,23,0.052,0.278,0.367,1.626,0.53
50.5709968,-2.4570124,6.863,2.719,218.626,2023-10-12,13:37:15.400,3,23,0.042,0.278,0.368,1.141,0.54
50.5709929,-2.4570181,6.914,2.911,223.129,2023-10-12,13:37:15.600,3,24,0.038,0.278,0.368,0.987,0.51
50.5709847,-2.4570323,6.941,3.007,230.948,2023-10-12,13:37:16.400,3,24,0.040,0.279,0.368,1.309,0.52
50.5709769,-2.4570457,7.068,2.654,229.686,2023-10-12,13:37:17.200,3,24,0.046,0.279,0.369,1.542,0.50
50.5709670,-2.4570681,7.187,2.859,237.633,2023-10-12,13:37:18.200,3,24,0.045,0.280,0.370,1.332,0.51
50.5709603,-2.4570834,7.259,2.806,238.258,2023-10-12,13:37:19.000,3,24,0.051,0.280,0.371,1.499,0.52
50.5709540,-2.4570993,7.357,2.603,240.840,2023-10-12,13:37:19.800,3,24,0.068,0.281,0.372,1.788,0.52
50.5709516,-2.4571065,7.369,2.847,242.153,2023-10-12,13:37:20.000,3,24,0.069,0.282,0.372,1.812,0.52
50.5709462,-2.4571218,7.409,2.854,244.901,2023-10-12,13:37:20.800,3,23,0.061,0.283,0.373,1.665,0.54
50.5709298,-2.4571547,7.771,2.824,230.628,2023-10-12,13:37:22.600,3,24,0.089,0.287,0.379,2.330,0.52
50.5709222,-2.4571649,8.188,2.629,223.350,2023-10-12,13:37:23.400,3,24,0.108,0.291,0.383,2.710,0.52
50.5709118,-2.4571854,8.427,2.752,230.933,2023-10-12,13:37:24.400,3,23,0.080,0.297,0.391,2.131,0.53
