lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5706988,-2.4567986,5.724,2.703,116.914,2023-10-07,08:29:32.200,3,22,0.138,0.44,0.56,2.069,0.60
50.5706961,-2.4567914,5.850,2.843,119.647,2023-10-07,08:29:32.400,3,24,0.122,0.43,0.56,1.511,0.57
50.5706929,-2.4567840,5.939,3.054,123.596,2023-10-07,08:29:32.600,3,24,0.118,0.43,0.55,1.757,0.56
50.5706889,-2.4567768,6.076,3.287,129.747,2023-10-07,08:29:32.800,3,24,0.112,0.43,0.55,1.360,0.56
50.5706844,-2.4567693,6.174,3.440,130.725,2023-10-07,08:29:33.000,3,23,0.100,0.43,0.55,1.201,0.57
50.5706794,-2.4567623,6.299,3.573,135.082,2023-10-07,08:29:33.200,3,24,0.101,0.43,0.55,1.114,0.56
50.5706742,-2.4567561,6.467,3.437,139.173,2023-10-07,08:29:33.400,3,24,0.079,0.43,0.55,0.987,0.56
50.5706695,-2.4567496,6.650,3.447,141.154,2023-10-07,08:29:33.600,3,24,0.087,0.43,0.55,1.028,0.56
50.5706648,-2.4567436,6.757,3.370,141.976,2023-10-07,08:29:33.800,3,24,0.087,0.43,0.55,1.159,0.56
50.5706599,-2.4567376,6.840,3.451,142.262,2023-10-07,08:29:34.000,3,24,0.093,0.43,0.54,1.145,0.56
50.5706545,-2.4567311,6.889,3.730,142.396,2023-10-07,08:29:34.200,3,24,0.094,0.43,0.54,0.925,0.56
50.5706488,-2.4567244,6.937,3.958,142.820,2023-10-07,08:29:34.400,3,24,0.089,0.42,0.54,0.737,0.56
50.5706426,-2.4567172,6.980,4.215,142.453,2023-10-07,08:29:34.600,3,24,0.090,0.42,0.54,0.737,0.56
50.5706361,-2.4567099,6.979,4.388,142.413,2023-10-07,08:29:34.800,3,24,0.090,0.42,0.54,0.778,0.56
50.5706296,-2.4567026,6.959,4.432,143.056,2023-10-07,08:29:35.000,3,23,0.091,0.42,0.54,0.845,0.56
50.5706233,-2.4566950,6.922,4.457,142.295,2023-10-07,08:29:35.200,3,24,0.091,0.42,0.54,0.831,0.60
50.5706170,-2.4566877,6.897,4.395,143.026,2023-10-07,08:29:35.400,3,24,0.098,0.42,0.53,0.861,0.60
50.5706107,-2.4566805,6.912,4.349,142.866,2023-10-07,08:29:35.600,3,24,0.100,0.42,0.53,0.910,0.58
50.5706046,-2.4566737,6.919,4.170,143.540,2023-10-07,08:29:35.800,3,24,0.107,0.41,0.53,0.976,0.57
