lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5722969,-2.4578029,2.920,4.475,339.464,2023-10-12,11:44:58.400,3,24,0.467,0.73,0.67,4.119,0.53
50.5723014,-2.4578079,2.871,3.137,332.272,2023-10-12,11:44:58.600,3,24,0.591,0.73,0.68,4.285,0.52
50.5723056,-2.4578119,3.107,2.896,330.435,2023-10-12,11:44:58.800,3,24,0.572,0.74,0.68,5.155,0.53
50.5723114,-2.4578162,3.087,3.323,336.140,2023-10-12,11:44:59.000,3,24,0.365,0.74,0.69,3.823,0.53
50.5723158,-2.4578227,2.948,2.964,328.688,2023-10-12,11:44:59.200,3,24,0.407,0.74,0.69,4.529,0.53
50.5723203,-2.4578267,2.810,2.754,331.507,2023-10-12,11:44:59.400,3,24,0.418,0.74,0.69,4.273,0.51
50.5726222,-2.4582214,2.422,2.743,317.575,2023-10-12,11:45:28.200,3,24,0.444,0.79,0.73,5.797,0.52
50.5726545,-2.4582499,2.684,2.950,331.653,2023-10-12,11:45:30.200,3,24,0.396,0.78,0.74,4.906,0.52
50.5726636,-2.4582589,2.369,3.538,333.098,2023-10-12,11:45:30.600,3,24,0.454,0.78,0.74,5.887,0.52
50.5726681,-2.4582637,2.266,3.069,330.767,2023-10-12,11:45:30.800,3,24,0.451,0.78,0.74,5.267,0.53
50.5726745,-2.4582661,2.564,3.556,336.477,2023-10-12,11:45:31.000,3,24,0.508,0.78,0.74,6.312,0.53
50.5726791,-2.4582702,2.481,2.983,333.249,2023-10-12,11:45:31.200,3,24,0.550,0.78,0.75,5.787,0.50
50.5726858,-2.4582730,2.579,3.680,340.499,2023-10-12,11:45:31.400,3,24,0.380,0.78,0.75,4.641,0.51
50.5726927,-2.4582764,2.618,3.945,342.046,2023-10-12,11:45:31.600,3,24,0.401,0.79,0.75,3.958,0.53
50.5726969,-2.4582801,2.598,3.029,337.783,2023-10-12,11:45:31.800,3,24,0.462,0.79,0.75,5.116,0.53
50.5727041,-2.4582840,2.573,3.960,342.208,2023-10-12,11:45:32.000,3,24,0.305,0.79,0.75,3.369,0.52
50.5727107,-2.4582883,2.568,4.041,340.020,2023-10-12,11:45:32.200,3,24,0.331,0.79,0.75,3.305,0.53
50.5727166,-2.4582919,2.637,3.723,339.172,2023-10-12,11:45:32.400,3,24,0.401,0.79,0.75,4.183,0.53
50.5727237,-2.4582946,2.684,4.161,343.825,2023-10-12,11:45:32.600,3,24,0.337,0.79,0.75,3.814,0.53
50.5727292,-2.4583001,2.556,3.679,335.426,2023-10-12,11:45:32.800,3,24,0.388,0.80,0.76,3.896,0.51
50.5727337,-2.4583034,2.834,3.103,333.006,2023-10-12,11:45:33.000,3,24,0.334,0.79,0.75,3.018,0.53
50.5727413,-2.4583058,2.826,4.201,340.329,2023-10-12,11:45:33.200,3,24,0.350,0.79,0.75,4.658,0.54
50.5727480,-2.4583113,2.640,4.009,336.795,2023-10-12,11:45:33.400,3,24,0.431,0.80,0.75,3.942,0.52
50.5727546,-2.4583138,2.989,4.011,340.330,2023-10-12,11:45:33.600,3,24,0.362,0.80,0.75,4.113,0.52
50.5727629,-2.4583189,2.617,4.549,341.559,2023-10-12,11:45:33.800,3,24,0.459,0.80,0.75,3.755,0.53
50.5727693,-2.4583234,2.573,4.017,338.334,2023-10-12,11:45:34.000,3,24,0.556,0.80,0.75,4.355,0.53
50.5727766,-2.4583287,2.638,4.350,336.876,2023-10-12,11:45:34.200,3,24,0.462,0.80,0.75,4.012,0.53
50.5727836,-2.4583356,2.584,4.446,332.764,2023-10-12,11:45:34.400,3,24,0.530,0.81,0.75,3.390,0.53
50.5727905,-2.4583422,2.481,4.463,331.010,2023-10-12,11:45:34.600,3,24,0.378,0.81,0.75,2.670,0.51
50.5727977,-2.4583482,2.345,4.473,332.921,2023-10-12,11:45:34.800,3,24,0.396,0.81,0.75,3.059,0.53
50.5728060,-2.4583526,2.293,4.866,338.659,2023-10-12,11:45:35.000,3,24,0.409,0.81,0.75,3.519,0.52
50.5728132,-2.4583597,2.266,4.597,332.836,2023-10-12,11:45:35.200,3,24,0.447,0.81,0.75,2.791,0.52
50.5728195,-2.4583628,2.310,3.881,338.300,2023-10-12,11:45:35.400,3,24,0.392,0.81,0.75,3.647,0.53
50.5728271,-2.4583676,2.159,4.291,340.197,2023-10-12,11:45:35.600,3,24,0.412,0.81,0.75,3.390,0.53
50.5728331,-2.4583744,2.007,3.997,331.361,2023-10-12,11:45:35.800,3,24,0.458,0.81,0.76,2.905,0.52
50.5728407,-2.4583787,2.042,4.454,338.196,2023-10-12,11:45:36.000,3,24,0.393,0.81,0.76,3.226,0.53
50.5728485,-2.4583849,2.045,4.697,336.796,2023-10-12,11:45:36.200,3,24,0.413,0.81,0.76,2.745,0.54
50.5728552,-2.4583929,1.859,4.410,329.008,2023-10-12,11:45:36.400,3,24,0.507,0.81,0.75,2.584,0.54
50.5728604,-2.4583946,2.050,3.600,334.535,2023-10-12,11:45:36.600,3,24,0.425,0.82,0.75,4.833,0.54
50.5728685,-2.4584013,1.902,4.550,335.920,2023-10-12,11:45:36.800,3,24,0.361,0.81,0.75,2.922,0.54
50.5728717,-2.4584063,1.801,2.879,325.798,2023-10-12,11:45:37.000,3,24,0.422,0.82,0.75,3.009,0.53
50.5728765,-2.4584089,1.896,3.063,331.862,2023-10-12,11:45:37.200,3,24,0.440,0.82,0.75,5.052,0.53
50.5728828,-2.4584124,1.908,3.686,339.101,2023-10-12,11:45:37.400,3,24,0.448,0.82,0.75,5.027,0.51
50.5728869,-2.4584163,1.619,2.645,334.168,2023-10-12,11:45:37.600,3,24,0.626,0.83,0.75,6.052,0.52
50.5728925,-2.4584217,1.472,3.252,333.844,2023-10-12,11:45:37.800,3,24,0.484,0.83,0.75,4.332,0.53
50.5728981,-2.4584262,1.488,3.550,334.823,2023-10-12,11:45:38.000,3,24,0.385,0.83,0.75,3.761,0.52
50.5729028,-2.4584303,1.454,3.210,333.307,2023-10-12,11:45:38.200,3,24,0.397,0.83,0.75,3.825,0.52
50.5729072,-2.4584345,1.390,2.937,331.225,2023-10-12,11:45:38.400,3,24,0.417,0.83,0.75,3.455,0.51
50.5729116,-2.4584378,1.367,2.872,333.570,2023-10-12,11:45:38.600,3,24,0.306,0.83,0.75,3.353,0.53
50.5729162,-2.4584417,1.348,2.806,333.262,2023-10-12,11:45:38.800,3,24,0.263,0.83,0.75,2.869,0.54
50.5729200,-2.4584455,1.401,2.591,330.671,2023-10-12,11:45:39.000,3,24,0.282,0.84,0.75,3.445,0.52
50.5735038,-2.4594814,0.700,2.599,337.215,2023-10-12,11:47:00.600,3,24,0.492,0.73,0.72,10.790,0.56
50.5735194,-2.4594968,1.405,2.977,328.115,2023-10-12,11:47:01.600,3,24,0.465,0.73,0.73,5.589,0.52
50.5735520,-2.4595204,1.747,2.837,336.673,2023-10-12,11:47:03.600,3,24,0.452,0.76,0.74,7.827,0.54
50.5735555,-2.4595277,1.628,2.811,318.049,2023-10-12,11:47:03.800,3,24,0.475,0.76,0.74,3.638,0.54
50.5735677,-2.4595421,1.591,2.921,330.465,2023-10-12,11:47:04.600,3,24,0.378,0.77,0.76,6.307,0.54
50.5735722,-2.4595443,1.657,2.717,335.283,2023-10-12,11:47:04.800,3,24,0.416,0.78,0.76,7.716,0.53
50.5735858,-2.4595550,2.014,2.740,334.062,2023-10-12,11:47:05.600,3,24,0.379,0.80,0.77,6.452,0.54
50.5736085,-2.4595664,1.996,3.783,342.689,2023-10-12,11:47:06.600,3,24,0.330,0.82,0.79,5.226,0.53
50.5736158,-2.4595730,1.991,4.107,337.782,2023-10-12,11:47:06.800,3,24,0.517,0.82,0.80,4.437,0.54
50.5736211,-2.4595776,2.155,3.641,334.066,2023-10-12,11:47:07.000,3,24,0.545,0.82,0.80,5.360,0.56
50.5736288,-2.4595823,2.193,4.374,337.945,2023-10-12,11:47:07.200,3,24,0.517,0.83,0.80,4.511,0.54
50.5736321,-2.4595856,2.167,2.862,334.542,2023-10-12,11:47:07.400,3,24,0.590,0.83,0.80,5.843,0.52
50.5736388,-2.4595849,2.233,3.781,347.402,2023-10-12,11:47:07.600,3,24,0.323,0.83,0.81,6.419,0.54
50.5736473,-2.4595883,2.033,4.431,350.803,2023-10-12,11:47:07.800,3,23,0.378,0.83,0.81,4.439,0.54
50.5736527,-2.4595919,1.723,3.307,347.896,2023-10-12,11:47:08.000,3,24,0.420,0.84,0.81,5.506,0.52
50.5736607,-2.4595939,1.983,4.382,349.300,2023-10-12,11:47:08.200,3,24,0.381,0.84,0.81,4.519,0.55
50.5736666,-2.4595989,1.945,3.686,340.685,2023-10-12,11:47:08.400,3,24,0.482,0.84,0.81,4.629,0.52
50.5736711,-2.4596003,2.186,3.043,341.029,2023-10-12,11:47:08.600,3,24,0.604,0.84,0.81,8.391,0.52
50.5736783,-2.4596022,1.978,3.666,349.098,2023-10-12,11:47:08.800,3,24,0.421,0.84,0.81,6.475,0.52
50.5736826,-2.4596058,1.928,2.820,340.070,2023-10-12,11:47:09.000,3,24,0.490,0.84,0.81,5.103,0.52
50.5736897,-2.4596066,2.222,4.017,348.380,2023-10-12,11:47:09.200,3,24,0.384,0.84,0.81,4.901,0.52
