lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5718415,-2.4570965,4.168,2.734,355.307,2023-10-07,09:57:32.000,3,24,0.056,0.150,0.189,1.156,0.54
50.5718463,-2.4570985,3.995,2.669,346.567,2023-10-07,09:57:32.200,3,24,0.071,0.150,0.189,1.534,0.54
50.5718548,-2.4570994,4.220,2.837,2.036,2023-10-07,09:57:32.600,3,24,0.055,0.149,0.188,1.252,0.54
50.5718604,-2.4571005,3.988,3.029,355.030,2023-10-07,09:57:32.800,3,23,0.089,0.149,0.188,1.636,0.57
50.5718707,-2.4571008,4.208,3.426,4.131,2023-10-07,09:57:33.200,3,23,0.090,0.149,0.188,1.515,0.57
50.5718766,-2.4571012,4.034,3.217,358.358,2023-10-07,09:57:33.400,3,24,0.100,0.149,0.188,1.850,0.54
50.5718812,-2.4571034,4.006,2.664,347.325,2023-10-07,09:57:33.600,3,22,0.074,0.149,0.188,1.759,0.58
50.5718881,-2.4571036,4.226,3.992,358.202,2023-10-07,09:57:33.800,3,23,0.090,0.149,0.188,1.415,0.55
50.5718943,-2.4571039,4.033,3.306,356.797,2023-10-07,09:57:34.000,3,24,0.102,0.149,0.189,2.251,0.54
50.5718999,-2.4571064,3.916,3.190,345.477,2023-10-07,09:57:34.200,3,23,0.091,0.149,0.189,1.546,0.57
50.5719056,-2.4571108,4.136,3.614,339.166,2023-10-07,09:57:34.400,3,24,0.078,0.149,0.188,1.486,0.54
50.5719134,-2.4571109,4.165,4.307,356.821,2023-10-07,09:57:34.600,3,23,0.083,0.149,0.188,1.222,0.57
50.5719196,-2.4571148,4.009,3.647,342.038,2023-10-07,09:57:34.800,3,23,0.088,0.149,0.189,1.755,0.57
50.5719250,-2.4571194,4.172,3.460,335.531,2023-10-07,09:57:35.000,3,23,0.082,0.149,0.189,1.293,0.59
50.5719329,-2.4571200,4.420,4.483,356.828,2023-10-07,09:57:35.200,3,24,0.074,0.149,0.189,1.022,0.54
50.5719405,-2.4571216,4.189,4.092,351.440,2023-10-07,09:57:35.400,3,24,0.106,0.149,0.189,1.690,0.54
50.5719473,-2.4571250,4.042,3.920,342.542,2023-10-07,09:57:35.600,3,24,0.089,0.149,0.189,1.343,0.54
50.5719548,-2.4571295,4.234,4.525,341.650,2023-10-07,09:57:35.800,3,24,0.100,0.150,0.189,1.516,0.54
50.5719640,-2.4571308,4.280,5.089,353.632,2023-10-07,09:57:36.000,3,24,0.090,0.150,0.189,1.051,0.54
50.5719721,-2.4571338,4.068,4.569,345.686,2023-10-07,09:57:36.200,3,24,0.093,0.150,0.190,1.187,0.54
50.5719796,-2.4571397,3.982,4.653,334.107,2023-10-07,09:57:36.400,3,24,0.081,0.150,0.190,0.986,0.54
50.5719878,-2.4571459,4.177,5.036,336.529,2023-10-07,09:57:36.600,3,24,0.099,0.151,0.191,1.397,0.54
50.5719974,-2.4571499,4.235,5.520,344.274,2023-10-07,09:57:36.800,3,21,0.084,0.152,0.192,1.193,0.62
50.5720057,-2.4571555,4.120,5.024,335.668,2023-10-07,09:57:37.000,3,22,0.084,0.152,0.193,1.031,0.58
50.5720140,-2.4571631,4.063,5.351,329.749,2023-10-07,09:57:37.200,3,24,0.075,0.153,0.194,0.873,0.54
50.5720229,-2.4571710,4.202,5.621,332.146,2023-10-07,09:57:37.400,3,23,0.078,0.153,0.194,0.936,0.56
50.5720320,-2.4571785,4.283,5.679,332.658,2023-10-07,09:57:37.600,3,23,0.067,0.153,0.195,0.683,0.56
50.5720407,-2.4571865,4.158,5.640,327.838,2023-10-07,09:57:37.800,3,24,0.069,0.154,0.195,0.694,0.54
50.5720487,-2.4571967,4.161,5.728,321.464,2023-10-07,09:57:38.000,3,22,0.068,0.154,0.196,0.609,0.56
50.5720564,-2.4572074,4.185,5.681,318.082,2023-10-07,09:57:38.200,3,24,0.061,0.154,0.197,0.661,0.54
50.5720656,-2.4572172,4.285,6.145,326.306,2023-10-07,09:57:38.400,3,23,0.057,0.155,0.197,0.707,0.54
50.5720745,-2.4572265,4.212,5.954,324.810,2023-10-07,09:57:38.600,3,24,0.053,0.155,0.197,0.580,0.54
50.5720831,-2.4572371,4.288,6.082,322.676,2023-10-07,09:57:38.800,3,24,0.051,0.155,0.197,0.472,0.54
