lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5714630,-2.4564600,4.118,2.614,42.503,2023-10-11,09:37:40.200,3,20,0.097,0.25,0.30,3.051,0.72
50.5712698,-2.4561219,6.266,3.091,236.816,2023-10-11,10:35:54.800,3,21,0.146,0.50,0.60,2.667,0.59
50.5712637,-2.4561409,6.174,2.933,245.432,2023-10-11,10:35:55.400,3,22,0.135,0.50,0.60,3.031,0.58
50.5712630,-2.4561490,6.724,3.358,239.255,2023-10-11,10:35:55.600,3,22,0.135,0.49,0.59,2.675,0.58
50.5712573,-2.4561619,6.603,2.955,240.343,2023-10-11,10:35:56.000,3,23,0.142,0.49,0.59,3.779,0.56
50.5712537,-2.4561699,6.399,3.343,238.178,2023-10-11,10:35:56.200,3,22,0.132,0.49,0.58,2.944,0.60
50.5712511,-2.4561784,6.675,3.487,238.968,2023-10-11,10:35:56.400,3,22,0.153,0.49,0.58,2.684,0.58
50.5712481,-2.4561852,6.430,2.856,238.345,2023-10-11,10:35:56.600,3,22,0.212,0.48,0.58,3.485,0.60
50.5712460,-2.4561928,6.681,2.927,239.738,2023-10-11,10:35:56.800,3,22,0.173,0.48,0.58,3.572,0.60
50.5712420,-2.4562021,6.634,4.014,236.797,2023-10-11,10:35:57.000,3,23,0.223,0.48,0.58,3.086,0.56
50.5712395,-2.4562099,6.763,3.137,239.315,2023-10-11,10:35:57.200,3,23,0.191,0.48,0.57,2.921,0.56
50.5712347,-2.4562236,6.736,3.210,241.369,2023-10-11,10:35:57.600,3,23,0.129,0.47,0.57,2.502,0.56
50.5712305,-2.4562323,6.710,3.928,234.970,2023-10-11,10:35:57.800,3,23,0.127,0.47,0.57,2.447,0.56
50.5712280,-2.4562390,6.649,2.797,236.330,2023-10-11,10:35:58.000,3,23,0.160,0.47,0.57,3.156,0.56
50.5712253,-2.4562452,6.807,2.680,234.919,2023-10-11,10:35:58.200,3,22,0.124,0.47,0.56,3.277,0.57
50.5712220,-2.4562541,6.559,3.733,237.438,2023-10-11,10:35:58.400,3,22,0.114,0.47,0.56,2.125,0.57
50.5712177,-2.4562626,6.769,3.858,232.809,2023-10-11,10:35:58.600,3,23,0.208,0.47,0.56,2.942,0.56
50.5712144,-2.4562679,6.554,2.746,229.048,2023-10-11,10:35:58.800,3,23,0.193,0.47,0.56,3.829,0.56
50.5712109,-2.4562747,6.667,3.092,229.165,2023-10-11,10:35:59.000,3,22,0.186,0.46,0.56,3.710,0.57
50.5712058,-2.4562817,6.547,3.792,223.621,2023-10-11,10:35:59.200,3,23,0.180,0.46,0.56,3.400,0.56
50.5712017,-2.4562880,6.652,3.246,223.113,2023-10-11,10:35:59.400,3,22,0.213,0.46,0.55,3.859,0.58
50.5711978,-2.4562922,6.560,2.670,217.961,2023-10-11,10:35:59.600,3,23,0.155,0.46,0.55,4.469,0.56
50.5711936,-2.4562980,6.555,3.119,219.610,2023-10-11,10:35:59.800,3,22,0.150,0.46,0.55,3.233,0.57
50.5711884,-2.4563056,6.410,3.991,220.569,2023-10-11,10:36:00.000,3,23,0.151,0.46,0.55,2.447,0.56
50.5711838,-2.4563102,6.341,3.028,216.304,2023-10-11,10:36:00.200,3,22,0.165,0.46,0.55,3.557,0.58
50.5711804,-2.4563154,6.384,2.664,219.897,2023-10-11,10:36:00.400,3,22,0.150,0.45,0.55,3.739,0.58
50.5711753,-2.4563213,6.160,3.531,215.993,2023-10-11,10:36:00.600,3,22,0.127,0.45,0.55,2.315,0.57
50.5711699,-2.4563278,6.294,3.802,216.525,2023-10-11,10:36:00.800,3,22,0.150,0.45,0.54,2.543,0.57
50.5711631,-2.4563379,6.230,2.820,222.016,2023-10-11,10:36:01.200,3,23,0.199,0.45,0.54,4.173,0.56
50.5711583,-2.4563444,6.060,3.492,220.924,2023-10-11,10:36:01.400,3,23,0.188,0.45,0.54,3.714,0.56
50.5711549,-2.4563517,6.271,3.215,226.643,2023-10-11,10:36:01.600,3,22,0.217,0.45,0.54,4.090,0.57
50.5711459,-2.4563679,6.342,3.229,232.595,2023-10-11,10:36:02.200,3,22,0.152,0.44,0.54,5.091,0.57
50.5711431,-2.4563743,6.399,2.753,233.174,2023-10-11,10:36:02.400,3,23,0.163,0.44,0.54,4.962,0.56
50.5711335,-2.4563893,6.276,2.961,223.906,2023-10-11,10:36:03.000,3,23,0.103,0.44,0.53,2.350,0.56
50.5715096,-2.4574500,3.601,2.757,322.283,2023-10-11,10:41:24.600,3,24,0.043,0.16,0.22,0.891,0.56
50.5715140,-2.4574541,3.636,2.843,328.144,2023-10-11,10:41:24.800,3,24,0.041,0.16,0.22,0.860,0.56
50.5715185,-2.4574584,3.633,2.932,328.925,2023-10-11,10:41:25.000,3,24,0.043,0.16,0.22,0.898,0.54
50.5715225,-2.4574626,3.665,2.649,326.096,2023-10-11,10:41:25.200,3,24,0.044,0.16,0.22,0.994,0.54
50.5718396,-2.4579680,3.358,2.759,311.958,2023-10-11,10:41:49.600,3,24,0.044,0.15,0.20,0.995,0.56
50.5718434,-2.4579739,3.349,2.946,315.548,2023-10-11,10:41:49.800,3,24,0.046,0.15,0.20,0.874,0.54
50.5718474,-2.4579800,3.347,3.096,315.559,2023-10-11,10:41:50.000,3,24,0.052,0.15,0.20,0.843,0.54
50.5718514,-2.4579862,3.357,3.139,316.360,2023-10-11,10:41:50.200,3,24,0.051,0.15,0.20,0.876,0.56
50.5718557,-2.4579925,3.369,3.291,317.209,2023-10-11,10:41:50.400,3,24,0.050,0.15,0.20,0.858,0.55
50.5718605,-2.4579983,3.390,3.385,322.513,2023-10-11,10:41:50.600,3,24,0.057,0.15,0.20,0.950,0.56
50.5718651,-2.4580040,3.369,3.265,322.603,2023-10-11,10:41:50.800,3,24,0.055,0.15,0.20,0.937,0.56
50.5718698,-2.4580093,3.399,3.233,324.513,2023-10-11,10:41:51.000,3,24,0.052,0.15,0.20,0.975,0.56
50.5718746,-2.4580147,3.393,3.250,324.634,2023-10-11,10:41:51.200,3,24,0.052,0.15,0.20,1.029,0.56
50.5718794,-2.4580200,3.404,3.248,325.353,2023-10-11,10:41:51.400,3,24,0.048,0.15,0.20,0.858,0.56
50.5718840,-2.4580249,3.433,3.139,326.306,2023-10-11,10:41:51.600,3,24,0.049,0.15,0.20,0.839,0.56
