lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5716840,-2.4570393,2.230,2.615,309.994,2023-10-12,13:18:41.600,3,24,0.038,0.161,0.201,0.906,0.54
50.5716875,-2.4570448,2.245,2.733,314.690,2023-10-12,13:18:41.800,3,24,0.036,0.161,0.200,0.870,0.52
50.5716911,-2.4570497,2.247,2.626,317.858,2023-10-12,13:18:42.000,3,24,0.036,0.161,0.200,0.898,0.55
50.5716946,-2.4570549,2.246,2.666,316.559,2023-10-12,13:18:42.200,3,24,0.037,0.160,0.200,0.932,0.55
50.5716983,-2.4570600,2.224,2.711,317.680,2023-10-12,13:18:42.400,3,24,0.038,0.160,0.199,0.835,0.55
50.5717016,-2.4570655,2.236,2.669,313.382,2023-10-12,13:18:42.600,3,24,0.038,0.160,0.199,0.865,0.55
50.5717080,-2.4570764,2.181,2.745,312.151,2023-10-12,13:18:43.000,3,24,0.044,0.160,0.199,0.864,0.55
50.5717119,-2.4570818,2.218,2.900,317.705,2023-10-12,13:18:43.200,3,24,0.045,0.160,0.199,0.772,0.55
50.5717158,-2.4570871,2.294,2.944,318.557,2023-10-12,13:18:43.400,3,24,0.039,0.159,0.199,0.800,0.53
50.5717195,-2.4570920,2.276,2.672,319.829,2023-10-12,13:18:43.600,3,24,0.041,0.159,0.198,0.841,0.53
50.5717229,-2.4570972,2.302,2.630,315.745,2023-10-12,13:18:43.800,3,24,0.044,0.159,0.198,0.847,0.53
50.5717263,-2.4571024,2.315,2.652,315.880,2023-10-12,13:18:44.000,3,24,0.047,0.159,0.198,0.809,0.55
50.5717301,-2.4571073,2.351,2.751,319.859,2023-10-12,13:18:44.200,3,24,0.051,0.159,0.198,0.813,0.52
50.5717342,-2.4571118,2.376,2.753,323.935,2023-10-12,13:18:44.400,3,24,0.050,0.159,0.198,0.767,0.55
50.5717381,-2.4571167,2.396,2.804,322.074,2023-10-12,13:18:44.600,3,24,0.046,0.160,0.199,0.736,0.55
50.5717419,-2.4571212,2.433,2.663,323.044,2023-10-12,13:18:44.800,3,24,0.049,0.160,0.199,0.855,0.55
50.5717454,-2.4571258,2.479,2.579,319.997,2023-10-12,13:18:45.000,3,24,0.042,0.160,0.199,0.877,0.53
50.5718013,-2.4571934,3.005,2.598,326.717,2023-10-12,13:18:48.400,3,24,0.041,0.154,0.192,0.753,0.55
50.5718213,-2.4572492,2.832,2.618,309.211,2023-10-12,13:18:50.800,3,24,0.040,0.154,0.194,0.826,0.55
50.5718242,-2.4572551,2.840,2.642,307.894,2023-10-12,13:18:51.000,3,24,0.038,0.154,0.194,0.810,0.55
