lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5716674,-2.4573593,2.837,2.822,344.689,2022-10-18,12:17:49.200,3,23,0.141,0.47,0.70,2.534,0.55
50.5716721,-2.4573612,2.911,2.739,346.126,2022-10-18,12:17:49.400,3,23,0.139,0.46,0.70,2.629,0.55
50.5716771,-2.4573636,2.940,2.885,345.103,2022-10-18,12:17:49.600,3,23,0.126,0.46,0.70,2.560,0.55
50.5716817,-2.4573659,2.909,2.767,344.168,2022-10-18,12:17:49.800,3,23,0.133,0.46,0.70,2.680,0.57
50.5716864,-2.4573687,2.857,2.720,342.039,2022-10-18,12:17:50.000,3,23,0.136,0.46,0.69,2.715,0.57
50.5716914,-2.4573712,2.840,2.732,342.464,2022-10-18,12:17:50.200,3,23,0.144,0.46,0.69,2.782,0.57
50.5716961,-2.4573734,2.798,2.703,343.965,2022-10-18,12:17:50.400,3,23,0.142,0.46,0.67,2.596,0.57
50.5717008,-2.4573753,2.746,2.662,345.804,2022-10-18,12:17:50.600,3,23,0.144,0.46,0.67,2.574,0.57
50.5717054,-2.4573771,2.698,2.650,346.285,2022-10-18,12:17:50.800,3,23,0.136,0.46,0.66,2.570,0.55
50.5717100,-2.4573789,2.673,2.662,346.691,2022-10-18,12:17:51.000,3,23,0.137,0.46,0.65,2.601,0.55
50.5717144,-2.4573812,2.684,2.627,344.969,2022-10-18,12:17:51.200,3,23,0.145,0.46,0.65,2.796,0.57
50.5717586,-2.4574068,2.671,2.611,337.522,2022-10-18,12:17:53.400,3,23,0.121,0.46,0.68,2.771,0.55
50.5717669,-2.4574117,2.637,2.617,338.753,2022-10-18,12:17:53.800,3,23,0.117,0.46,0.68,2.675,0.55
50.5717883,-2.4574220,2.687,2.684,343.988,2022-10-18,12:17:54.800,3,23,0.123,0.46,0.69,2.612,0.55
50.5717929,-2.4574246,2.694,2.681,343.208,2022-10-18,12:17:55.000,3,23,0.122,0.46,0.69,2.634,0.55
50.5717974,-2.4574270,2.676,2.626,342.322,2022-10-18,12:17:55.200,3,23,0.127,0.46,0.69,2.843,0.55
50.5718019,-2.4574288,2.650,2.627,343.529,2022-10-18,12:17:55.400,3,23,0.125,0.46,0.69,2.750,0.55
50.5718064,-2.4574310,2.697,2.636,343.643,2022-10-18,12:17:55.600,3,23,0.125,0.46,0.69,2.853,0.55
50.5718112,-2.4574335,2.778,2.754,344.616,2022-10-18,12:17:55.800,3,23,0.123,0.46,0.69,2.642,0.55
50.5718159,-2.4574359,2.776,2.784,343.501,2022-10-18,12:17:56.000,3,23,0.129,0.46,0.69,2.520,0.55
50.5718205,-2.4574383,2.757,2.714,342.239,2022-10-18,12:17:56.200,3,23,0.131,0.46,0.70,2.872,0.55
50.5718251,-2.4574405,2.717,2.660,341.721,2022-10-18,12:17:56.400,3,23,0.133,0.46,0.70,2.610,0.57
50.5718296,-2.4574424,2.705,2.628,343.240,2022-10-18,12:17:56.600,3,23,0.121,0.46,0.70,2.685,0.55
50.5719637,-2.4574986,2.592,2.576,346.386,2022-10-18,12:18:03.200,3,23,0.131,0.47,0.76,2.992,0.57
50.5719690,-2.4575015,2.680,2.862,343.344,2022-10-18,12:18:03.400,3,23,0.120,0.47,0.76,2.415,0.55
50.5719743,-2.4575044,2.734,2.868,342.340,2022-10-18,12:18:03.600,3,23,0.115,0.47,0.75,2.350,0.55
50.5719790,-2.4575058,2.742,2.645,346.263,2022-10-18,12:18:03.800,3,23,0.122,0.47,0.75,2.526,0.55
50.5721388,-2.4575258,2.421,2.890,355.196,2022-10-18,12:18:11.400,3,23,0.150,0.47,0.74,2.535,0.57
50.5721434,-2.4575263,2.398,2.591,355.872,2022-10-18,12:18:11.600,3,23,0.145,0.47,0.74,2.948,0.57
50.5721859,-2.4575223,2.227,2.704,1.601,2022-10-18,12:18:14.000,3,23,0.145,0.47,0.75,2.365,0.57
50.5721907,-2.4575225,2.199,2.749,359.206,2022-10-18,12:18:14.200,3,23,0.145,0.47,0.75,2.377,0.55
50.5721957,-2.4575223,2.143,2.831,358.858,2022-10-18,12:18:14.400,3,23,0.139,0.46,0.75,2.328,0.55
50.5722005,-2.4575224,2.080,2.765,358.093,2022-10-18,12:18:14.600,3,23,0.144,0.46,0.75,2.514,0.55
50.5722054,-2.4575224,2.027,2.796,357.991,2022-10-18,12:18:14.800,3,23,0.153,0.46,0.75,2.576,0.57
50.5722104,-2.4575232,2.054,2.819,355.507,2022-10-18,12:18:15.000,3,23,0.139,0.46,0.75,2.474,0.57
