lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5712729,-2.4561977,4.438,3.127,28.618,2023-10-11,12:38:49.400,3,22,0.231,0.47,0.64,4.415,0.60
50.5715122,-2.4573228,-0.368,2.574,319.962,2023-10-11,13:00:18.800,3,20,0.130,0.74,0.94,3.012,0.61
50.5715161,-2.4573285,-0.358,2.963,318.936,2023-10-11,13:00:19.000,3,20,0.136,0.74,0.94,2.725,0.63
50.5715213,-2.4573337,-0.342,3.430,324.670,2023-10-11,13:00:19.200,3,20,0.139,0.74,0.94,2.374,0.63
50.5715247,-2.4573392,-0.428,2.747,319.903,2023-10-11,13:00:19.400,3,20,0.134,0.74,0.94,3.364,0.65
50.5715289,-2.4573448,-0.457,3.007,319.445,2023-10-11,13:00:19.600,3,20,0.126,0.74,0.94,3.011,0.63
50.5715338,-2.4573505,-0.491,3.305,321.198,2023-10-11,13:00:19.800,3,20,0.138,0.74,0.94,3.205,0.65
50.5715387,-2.4573557,-0.434,3.318,324.432,2023-10-11,13:00:20.000,3,20,0.144,0.74,0.94,2.930,0.68
50.5715438,-2.4573609,-0.418,3.433,326.694,2023-10-11,13:00:20.200,3,20,0.145,0.75,0.94,2.943,0.68
50.5715487,-2.4573656,-0.411,3.188,328.777,2023-10-11,13:00:20.400,3,19,0.158,0.75,0.94,2.968,0.68
50.5715532,-2.4573700,-0.444,2.923,328.306,2023-10-11,13:00:20.600,3,20,0.133,0.75,0.94,2.460,0.63
50.5715800,-2.4574030,-0.645,2.779,319.117,2023-10-11,13:00:22.200,3,20,0.124,0.74,0.93,2.963,0.72
50.5715835,-2.4574078,-0.686,2.642,319.189,2023-10-11,13:00:22.400,3,20,0.135,0.74,0.93,3.282,0.68
50.5715872,-2.4574127,-0.667,2.689,320.322,2023-10-11,13:00:22.600,3,20,0.127,0.74,0.93,2.865,0.68
50.5715969,-2.4574265,-0.637,2.592,319.651,2023-10-11,13:00:23.200,3,20,0.147,0.75,0.94,2.698,0.65
50.5716003,-2.4574313,-0.611,2.608,319.552,2023-10-11,13:00:23.400,3,20,0.135,0.74,0.94,2.652,0.65
50.5716036,-2.4574362,-0.545,2.589,319.343,2023-10-11,13:00:23.600,3,20,0.135,0.75,0.94,2.722,0.63
50.5716073,-2.4574408,-0.578,2.652,320.214,2023-10-11,13:00:23.800,3,20,0.127,0.74,0.94,2.499,0.63
50.5716113,-2.4574451,-0.633,2.642,321.922,2023-10-11,13:00:24.000,3,20,0.123,0.74,0.93,2.444,0.63
50.5716748,-2.4575357,-1.212,2.588,313.839,2023-10-11,13:00:28.400,3,19,0.153,0.74,0.91,3.445,0.69
50.5716783,-2.4575412,-1.197,2.757,315.306,2023-10-11,13:00:28.600,3,18,0.150,0.74,0.91,2.794,0.81
50.5716819,-2.4575459,-1.244,2.628,317.170,2023-10-11,13:00:28.800,3,19,0.143,0.74,0.91,2.845,0.72
50.5716853,-2.4575510,-1.216,2.644,317.430,2023-10-11,13:00:29.000,3,19,0.140,0.74,0.91,2.740,0.72
50.5716891,-2.4575555,-1.271,2.607,319.350,2023-10-11,13:00:29.200,3,19,0.145,0.74,0.91,3.342,0.72
50.5717876,-2.4576498,-1.588,2.576,325.645,2023-10-11,13:00:35.200,3,20,0.158,0.73,0.88,2.848,0.64
50.5718885,-2.4577742,-1.857,2.714,322.097,2023-10-11,13:00:41.800,3,20,0.128,0.73,0.89,2.845,0.68
50.5718927,-2.4577792,-1.876,2.928,323.109,2023-10-11,13:00:42.000,3,20,0.125,0.73,0.89,2.664,0.65
50.5718964,-2.4577836,-1.911,2.581,323.578,2023-10-11,13:00:42.200,3,20,0.139,0.73,0.89,2.883,0.68
50.5719006,-2.4577885,-1.894,2.881,324.001,2023-10-11,13:00:42.400,3,20,0.135,0.73,0.88,2.634,0.68
50.5719060,-2.4577928,-1.967,3.289,329.730,2023-10-11,13:00:42.600,3,20,0.128,0.73,0.88,2.386,0.68
50.5719106,-2.4577974,-2.010,3.017,328.820,2023-10-11,13:00:42.800,3,20,0.123,0.73,0.88,2.440,0.65
50.5719155,-2.4578022,-2.048,3.111,328.163,2023-10-11,13:00:43.000,3,20,0.141,0.73,0.88,2.500,0.64
50.5719210,-2.4578065,-2.104,3.327,331.267,2023-10-11,13:00:43.200,3,20,0.131,0.73,0.88,2.329,0.68
