lat,lon,ele,sog,cog,date,time,fix,sat,ehve,ehpe,evpe,ece,hdop
50.5716889,-2.4572015,4.621,3.129,352.066,2023-10-07,10:15:38.200,3,24,0.130,0.38,0.46,2.492,0.52
50.5717014,-2.4572019,4.734,2.916,351.333,2023-10-07,10:15:38.800,3,23,0.151,0.38,0.46,3.376,0.53
50.5717066,-2.4572012,4.293,2.671,3.925,2023-10-07,10:15:39.000,3,23,0.144,0.38,0.46,3.779,0.53
50.5717158,-2.4572032,4.658,2.903,350.402,2023-10-07,10:15:39.400,3,24,0.184,0.38,0.46,4.133,0.53
50.5717291,-2.4572039,4.764,3.158,349.354,2023-10-07,10:15:40.000,3,24,0.119,0.38,0.46,2.482,0.53
50.5717348,-2.4572064,4.655,3.122,347.630,2023-10-07,10:15:40.200,3,24,0.130,0.38,0.46,2.113,0.53
50.5717436,-2.4572086,4.583,2.691,351.867,2023-10-07,10:15:40.600,3,24,0.105,0.38,0.46,2.769,0.53
50.5719735,-2.4573225,5.702,2.647,344.835,2023-10-07,10:15:59.600,3,24,0.109,0.27,0.30,2.439,0.53
50.5721695,-2.4574332,5.231,2.636,345.677,2023-10-07,10:16:16.200,3,24,0.098,0.16,0.19,2.592,0.53
50.5721811,-2.4574346,5.266,2.832,349.691,2023-10-07,10:16:16.800,3,24,0.087,0.16,0.19,2.031,0.53
50.5721932,-2.4574380,5.238,3.159,346.303,2023-10-07,10:16:17.400,3,23,0.114,0.16,0.19,2.339,0.56
50.5722012,-2.4574402,4.909,2.606,348.295,2023-10-07,10:16:17.800,3,24,0.166,0.16,0.19,3.657,0.53
50.5722061,-2.4574428,5.060,3.123,342.999,2023-10-07,10:16:18.000,3,24,0.169,0.16,0.19,2.505,0.53
50.5722226,-2.4574490,4.679,2.645,347.360,2023-10-07,10:16:18.800,3,23,0.143,0.16,0.19,3.269,0.54
50.5726647,-2.4577140,5.120,2.699,347.824,2023-10-07,10:16:59.400,3,24,0.121,0.14,0.17,2.862,0.55
50.5726702,-2.4577141,4.808,2.858,358.709,2023-10-07,10:16:59.600,3,24,0.151,0.14,0.17,2.906,0.55
50.5726803,-2.4577167,4.979,3.616,345.868,2023-10-07,10:17:00.000,3,24,0.161,0.14,0.17,2.089,0.54
50.5726859,-2.4577173,4.753,2.933,352.196,2023-10-07,10:17:00.200,3,24,0.181,0.14,0.17,3.440,0.55
50.5726917,-2.4577176,4.657,3.161,356.907,2023-10-07,10:17:00.400,3,24,0.110,0.14,0.17,2.701,0.53
50.5727014,-2.4577183,4.968,3.382,354.303,2023-10-07,10:17:00.800,3,24,0.094,0.14,0.17,1.789,0.53
50.5727063,-2.4577183,4.732,2.599,359.289,2023-10-07,10:17:01.000,3,24,0.144,0.14,0.17,3.367,0.56
50.5727158,-2.4577215,5.018,3.366,344.115,2023-10-07,10:17:01.400,3,24,0.123,0.14,0.17,2.326,0.55
50.5727213,-2.4577214,4.538,2.616,356.227,2023-10-07,10:17:01.600,3,24,0.118,0.14,0.17,3.478,0.53
50.5727251,-2.4577228,4.864,2.632,347.046,2023-10-07,10:17:01.800,3,24,0.157,0.15,0.17,3.837,0.53
50.5727317,-2.4577259,4.913,3.827,344.568,2023-10-07,10:17:02.000,3,24,0.141,0.15,0.18,2.296,0.53
50.5727420,-2.4577266,4.826,3.336,349.421,2023-10-07,10:17:02.400,3,24,0.138,0.15,0.18,3.140,0.53
50.5727492,-2.4577302,4.852,4.146,344.763,2023-10-07,10:17:02.600,3,24,0.176,0.15,0.18,2.536,0.55
50.5727552,-2.4577297,4.581,3.172,356.518,2023-10-07,10:17:02.800,3,24,0.138,0.15,0.18,3.667,0.55
50.5727605,-2.4577315,4.773,3.224,348.492,2023-10-07,10:17:03.000,3,24,0.166,0.15,0.18,3.627,0.55
50.5727677,-2.4577346,4.820,4.190,346.201,2023-10-07,10:17:03.200,3,24,0.177,0.16,0.18,2.411,0.55
50.5727744,-2.4577366,4.376,3.321,355.455,2023-10-07,10:17:03.400,3,23,0.113,0.16,0.18,2.532,0.54
50.5727808,-2.4577379,4.598,3.866,349.962,2023-10-07,10:17:03.600,3,23,0.144,0.16,0.18,2.914,0.54
50.5727883,-2.4577411,4.730,4.500,345.346,2023-10-07,10:17:03.800,3,24,0.153,0.16,0.18,2.009,0.52
50.5727964,-2.4577432,4.354,4.215,353.458,2023-10-07,10:17:04.000,3,24,0.134,0.16,0.18,2.144,0.55
50.5728020,-2.4577448,4.459,3.339,349.498,2023-10-07,10:17:04.200,3,24,0.118,0.16,0.18,2.853,0.53
50.5728096,-2.4577480,4.630,4.495,344.827,2023-10-07,10:17:04.400,3,22,0.152,0.16,0.18,2.121,0.59
50.5728177,-2.4577499,4.635,4.574,351.205,2023-10-07,10:17:04.600,3,22,0.123,0.16,0.18,1.537,0.57
50.5728264,-2.4577518,4.315,4.593,355.067,2023-10-07,10:17:04.800,3,23,0.137,0.16,0.19,1.441,0.56
50.5728342,-2.4577547,4.410,4.618,348.267,2023-10-07,10:17:05.000,3,24,0.161,0.16,0.19,2.194,0.55
50.5728425,-2.4577568,4.718,5.007,347.572,2023-10-07,10:17:05.200,3,23,0.135,0.16,0.19,1.572,0.56
50.5728522,-2.4577598,4.657,5.424,350.171,2023-10-07,10:17:05.400,3,24,0.100,0.16,0.19,1.140,0.55
50.5728616,-2.4577622,4.379,5.129,353.433,2023-10-07,10:17:05.600,3,24,0.102,0.16,0.19,1.258,0.55
50.5728704,-2.4577648,4.398,5.113,349.221,2023-10-07,10:17:05.800,3,24,0.100,0.16,0.19,1.159,0.55
50.5728797,-2.4577687,4.608,5.533,344.033,2023-10-07,10:17:06.000,3,24,0.101,0.16,0.19,1.107,0.55
50.5728896,-2.4577726,4.503,5.595,346.947,2023-10-07,10:17:06.200,3,24,0.089,0.16,0.19,0.849,0.52
50.5728991,-2.4577756,4.362,5.333,349.503,2023-10-07,10:17:06.400,3,22,0.099,0.16,0.19,1.076,0.58
50.5729084,-2.4577805,4.370,5.518,341.971,2023-10-07,10:17:06.600,3,24,0.093,0.17,0.19,0.735,0.55
50.5729189,-2.4577859,4.471,6.336,341.676,2023-10-07,10:17:06.800,3,24,0.091,0.17,0.19,0.667,0.55
50.5729295,-2.4577906,4.455,6.104,344.654,2023-10-07,10:17:07.000,3,24,0.067,0.17,0.19,0.527,0.55
50.5729403,-2.4577952,4.371,6.165,345.225,2023-10-07,10:17:07.200,3,24,0.070,0.17,0.19,0.681,0.53
50.5729514,-2.4578004,4.425,6.527,343.018,2023-10-07,10:17:07.400,3,24,0.064,0.17,0.19,0.561,0.55
50.5729628,-2.4578061,4.547,6.759,341.229,2023-10-07,10:17:07.600,3,24,0.051,0.17,0.19,0.447,0.53
50.5729738,-2.4578125,4.585,6.554,340.075,2023-10-07,10:17:07.800,3,24,0.044,0.17,0.19,0.405,0.53
50.5729844,-2.4578191,4.545,6.285,339.130,2023-10-07,10:17:08.000,3,24,0.047,0.17,0.19,0.408,0.53
50.5729943,-2.4578265,4.481,6.098,335.210,2023-10-07,10:17:08.200,3,24,0.048,0.17,0.19,0.428,0.53
50.5730037,-2.4578342,4.455,5.902,332.744,2023-10-07,10:17:08.400,3,24,0.040,0.16,0.19,0.428,0.53
50.5730127,-2.4578415,4.435,5.619,333.122,2023-10-07,10:17:08.600,3,24,0.053,0.16,0.19,0.515,0.53
50.5730219,-2.4578497,4.446,5.924,330.613,2023-10-07,10:17:08.800,3,24,0.042,0.16,0.19,0.414,0.53
50.5730304,-2.4578586,4.425,5.681,326.617,2023-10-07,10:17:09.000,3,24,0.057,0.16,0.19,0.488,0.53
50.5730389,-2.4578664,4.593,5.652,328.465,2023-10-07,10:17:09.200,3,24,0.049,0.16,0.19,0.457,0.54
50.5730476,-2.4578753,4.582,5.767,327.158,2023-10-07,10:17:09.400,3,24,0.047,0.16,0.19,0.426,0.53
50.5730569,-2.4578838,4.433,5.943,330.323,2023-10-07,10:17:09.600,3,24,0.052,0.16,0.19,0.485,0.53
50.5730665,-2.4578922,4.499,6.158,329.948,2023-10-07,10:17:09.800,3,24,0.066,0.16,0.19,0.531,0.55
50.5730760,-2.4579013,4.646,6.263,328.419,2023-10-07,10:17:10.000,3,24,0.050,0.16,0.19,0.505,0.55
50.5730854,-2.4579099,4.607,6.021,329.907,2023-10-07,10:17:10.200,3,24,0.048,0.16,0.19,0.500,0.55
50.5730951,-2.4579186,4.560,6.154,330.523,2023-10-07,10:17:10.400,3,24,0.040,0.16,0.19,0.430,0.55
50.5731046,-2.4579276,4.595,6.185,328.853,2023-10-07,10:17:10.600,3,24,0.037,0.16,0.19,0.391,0.55
50.5731143,-2.4579358,4.496,6.132,332.018,2023-10-07,10:17:10.800,3,24,0.043,0.16,0.19,0.375,0.55
50.5731243,-2.4579437,4.543,6.252,333.246,2023-10-07,10:17:11.000,3,24,0.046,0.16,0.19,0.376,0.55
50.5731351,-2.4579510,4.484,6.573,337.130,2023-10-07,10:17:11.200,3,24,0.042,0.16,0.18,0.358,0.55
50.5731463,-2.4579578,4.462,6.668,338.746,2023-10-07,10:17:11.400,3,24,0.041,0.16,0.18,0.344,0.55
50.5731579,-2.4579632,4.577,6.794,343.238,2023-10-07,10:17:11.600,3,23,0.043,0.16,0.18,0.391,0.55
50.5731701,-2.4579693,4.425,7.110,343.315,2023-10-07,10:17:11.800,3,24,0.048,0.16,0.18,0.421,0.53
50.5731820,-2.4579742,4.331,6.837,345.755,2023-10-07,10:17:12.000,3,24,0.058,0.16,0.18,0.480,0.53
50.5731940,-2.4579796,4.437,7.073,344.077,2023-10-07,10:17:12.200,3,24,0.065,0.16,0.18,0.503,0.55
50.5732069,-2.4579843,4.319,7.306,347.554,2023-10-07,10:17:12.400,3,24,0.060,0.16,0.18,0.447,0.53
50.5732199,-2.4579878,4.188,7.375,350.816,2023-10-07,10:17:12.600,3,23,0.061,0.16,0.18,0.436,0.54
50.5732334,-2.4579927,4.282,7.843,346.700,2023-10-07,10:17:12.800,3,24,0.064,0.16,0.18,0.462,0.52
50.5732473,-2.4579971,4.278,7.968,348.372,2023-10-07,10:17:13.000,3,24,0.056,0.16,0.18,0.379,0.55
50.5732613,-2.4580007,4.188,7.888,350.622,2023-10-07,10:17:13.200,3,24,0.052,0.16,0.18,0.360,0.55
50.5732756,-2.4580059,4.269,8.262,346.343,2023-10-07,10:17:13.400,3,24,0.055,0.16,0.18,0.364,0.53
50.5732906,-2.4580108,4.269,8.531,348.484,2023-10-07,10:17:13.600,3,24,0.050,0.16,0.18,0.333,0.53
50.5733052,-2.4580159,4.240,8.258,347.613,2023-10-07,10:17:13.800,3,23,0.048,0.16,0.18,0.311,0.56
50.5733201,-2.4580213,4.262,8.501,346.923,2023-10-07,10:17:14.000,3,24,0.044,0.16,0.18,0.313,0.53
50.5733352,-2.4580265,4.253,8.552,347.511,2023-10-07,10:17:14.200,3,24,0.045,0.16,0.18,0.305,0.55
50.5733509,-2.4580315,4.192,8.820,348.554,2023-10-07,10:17:14.400,3,24,0.049,0.16,0.18,0.292,0.55
50.5733662,-2.4580371,4.189,8.753,346.793,2023-10-07,10:17:14.600,3,24,0.044,0.16,0.18,0.277,0.55
50.5733821,-2.4580434,4.082,9.013,345.754,2023-10-07,10:17:14.800,3,24,0.041,0.16,0.18,0.253,0.53
50.5733977,-2.4580504,4.054,9.040,343.895,2023-10-07,10:17:15.000,3,24,0.045,0.16,0.18,0.287,0.55
50.5734136,-2.4580579,4.076,9.221,343.138,2023-10-07,10:17:15.200,3,24,0.040,0.16,0.18,0.249,0.55
50.5734297,-2.4580659,4.048,9.340,342.192,2023-10-07,10:17:15.400,3,24,0.039,0.16,0.18,0.245,0.55
50.5734454,-2.4580749,4.003,9.258,339.932,2023-10-07,10:17:15.600,3,24,0.039,0.16,0.18,0.254,0.55
50.5734613,-2.4580845,3.926,9.394,339.006,2023-10-07,10:17:15.800,3,24,0.038,0.15,0.18,0.252,0.55
50.5734770,-2.4580949,3.892,9.491,337.206,2023-10-07,10:17:16.000,3,24,0.040,0.15,0.18,0.270,0.55
50.5734933,-2.4581058,3.860,9.768,336.949,2023-10-07,10:17:16.200,3,24,0.039,0.15,0.18,0.256,0.55
50.5735092,-2.4581172,3.856,9.708,335.294,2023-10-07,10:17:16.400,3,24,0.036,0.15,0.18,0.245,0.55
50.5735250,-2.4581295,3.834,9.797,333.579,2023-10-07,10:17:16.600,3,24,0.035,0.15,0.18,0.234,0.55
50.5735404,-2.4581429,3.798,9.767,330.810,2023-10-07,10:17:16.800,3,24,0.036,0.15,0.18,0.242,0.55
50.5735552,-2.4581577,3.778,9.728,327.467,2023-10-07,10:17:17.000,3,24,0.037,0.15,0.17,0.247,0.55
50.5735694,-2.4581737,3.781,9.699,324.254,2023-10-07,10:17:17.200,3,24,0.034,0.15,0.17,0.237,0.55
50.5735834,-2.4581904,3.751,9.718,322.759,2023-10-07,10:17:17.400,3,24,0.034,0.15,0.17,0.233,0.55
